Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Best_Drought_Market,Best_Drought,Best_Drought_Tag,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought_Display,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Matvei Michkov,PHI,R,,GOAL,0,,Healthy,Unknown,,,3,0.0,,BUF,Ukko-Pekka Luukkonen,0.9042056074766355,2.6306409068225567,33.8,Likely,dailyfaceoff_name_and_stats,78.4,76.5,A1+A2,879.14,43.5,70.7,1.037,NONE,False,False,23.490894209126253,2.169292681263215,18.4,18.4,14,2.8,True,2.0,2.125,1.4,1.79,79.4,5.0,1.0,21.0,0.0,1.0,4.0,1.7212801224021421,0.6885120489608568,,,0.0,2.4456566836209412,2.1021251747929375,50.0,55.2,67.6,55.2,5.59,2.22,17.9,0.59,1.22,-3.1,COOL,COOL,COOL,3.38,-0.62,COOL,Yellow,Red,Red,Yellow,56,74,56,57,SOG,74,,,,,,,,,,False,False,2,,False,0,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Vince Dunn,SEA,D,,GOAL,0,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,58.5,86.8,A1+A2,1346.88,94.7,75.6,1.046,NONE,False,False,23.396530859217428,2.0855183541750706,6.2,6.2,20,4.0,True,1.0,1.375,2.0,1.35,72.2,6.0,1.0,15.0,1.0,4.0,5.0,0.6728832215322631,0.14952960478494734,,,0.0,2.5269210962979916,2.652056989185787,50.0,85.5,42.2,85.5,5.81,1.19,13.5,-0.19,0.19,-1.5,COOL,COOL,COOL,4.62,-0.38,COOL,Yellow,Red,Red,Yellow,71,73,62,66,SOG,73,,,,,,,,,,False,False,0,,False,2,
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Vincent Trocheck,NYR,C,,GOAL,0,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,OTT,Leevi Merilainen,0.8806404657933042,2.95344718912267,75.3,Confirmed,dailyfaceoff_name_fallback_stats,75.1,82.3,A1+A2,1265.94,90.0,80.6,1.055,NONE,False,False,23.6403434921704,2.230931133187405,31.3,31.3,13,2.6,False,2.0,1.875,2.0,2.0,84.9,10.0,5.0,18.0,2.0,3.0,5.0,1.8708587761465505,0.7015720410549565,,,0.0,2.061266418892403,1.6343867586971075,50.0,15.6,69.3,15.6,7.81,2.7,20.0,-2.19,-2.3,2.0,COOL,COOL,WARM,5.12,0.12,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,73,0,0,SOG,73,,,,,,,,,,False,False,2,,False,1,
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Alexis Lafrenire,NYR,L,,GOAL,0,,Healthy,Unknown,,,4,0.0,,OTT,Leevi Merilainen,0.8806404657933042,2.95344718912267,75.3,Confirmed,dailyfaceoff_name_fallback_stats,85.2,79.4,A1+A2,1036.32,62.2,78.6,1.051,NONE,False,False,23.6403434921704,2.230931133187405,31.3,31.3,13,2.6,False,2.0,2.0,1.6,1.8599999999999999,81.6,6.0,2.0,22.0,1.0,3.0,4.0,1.3085199185809828,0.34893864495492877,,,0.0,2.061266418892403,1.6343867586971075,50.0,15.6,58.5,15.6,5.8,2.45,18.6,-0.2,0.45,-3.4,COOL,COOL,COOL,3.35,-0.65,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,73,0,0,SOG,73,,,,,,,,,,False,False,0,,False,1,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Sean Couturier,PHI,C,,GOAL,0,,Healthy,Unknown,,,3,0.0,,BUF,Ukko-Pekka Luukkonen,0.9042056074766355,2.6306409068225567,33.8,Likely,dailyfaceoff_name_and_stats,72.7,86.8,A1+A2,1043.56,63.6,75.8,1.046,NONE,False,False,23.490894209126253,2.169292681263215,18.4,18.4,14,2.8,True,1.5,1.625,2.0,1.675,77.0,5.0,0.0,19.0,0.0,3.0,5.0,1.792776166622726,0.5272871078302136,,,0.0,2.4456566836209412,2.1021251747929375,50.0,55.2,68.8,55.2,6.54,1.92,16.75,1.54,1.92,-2.25,WARM,WARM,COOL,4.62,-0.38,COOL,Yellow,Red,Red,Yellow,67,72,54,63,SOG,72,,,,,,,,,,False,False,2,,False,1,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Bowen Byram,BUF,D,,GOAL,0,,Healthy,Unknown,,,7,1.0,🟢 ROLE+,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,68.5,79.4,A1+A2,1328.59,94.3,77.5,1.049,NONE,False,False,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,1.5,1.375,1.6,1.5350000000000001,74.9,12.0,4.0,14.0,1.0,4.0,8.0,1.4206197557530946,0.5233862258037717,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,61.1,48.3,5.2,1.62,15.35,-6.8,-2.38,1.35,COOL,COOL,COOL,3.58,-4.42,COOL,Yellow,Red,Red,Yellow,60,72,57,70,SOG,72,,,,,,,,,,False,False,2,,False,2,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jared McCann,SEA,L,,GOAL,0,,Healthy,Unknown,,,2,0.0,,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,69.4,50.1,A1+A2,1000.8,59.3,60.7,1.019,NONE,False,False,23.396530859217428,2.0855183541750706,6.2,6.2,20,4.0,True,,,,0.0,32.1,,,,,,,1.6291698991466252,0.9309542280837859,,,0.0,2.5269210962979916,2.652056989185787,50.0,85.5,65.7,85.5,7.15,3.59,0.0,,,,COOL,COOL,COOL,3.57,,COOL,Red,Red,Red,Red,58,62,70,53,GOAL,70,,,,,,,,,,False,False,2,,False,1,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Cody Glass,NJD,C,,GOAL,0,,Healthy,Unknown,,,2,0.0,,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,70.2,25.9,A1+A2,817.63,34.4,47.6,0.996,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,1.0,1.25,1.4,1.14,69.4,3.0,3.0,13.0,2.0,0.0,0.0,1.2197417460377216,0.0,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,56.6,74.9,2.62,2.05,11.4,-0.38,-0.95,-1.6,COOL,COOL,COOL,0.57,0.57,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,70,0,0,SOG,70,,,,,,,,,,False,False,0,,False,1,
2026-01-14,VGK@LAK,9:00 PM,2026-01-15T03:00:00Z,Corey Perry,LAK,R,,GOAL,0,,GTD,Unknown,,,0,-1.0,🟡 GTD,VGK,Akira Schmid,0.8946360153256705,2.4893448496963755,43.0,Confirmed,dailyfaceoff_name_and_stats,86.6,73.7,A1+A2,822.7,36.4,72.1,1.04,NONE,False,False,26.511993413913107,2.3478202297646225,54.8,43.3,13,2.6,False,1.0,1.25,1.8,1.28,71.1,9.0,3.0,14.0,2.0,4.0,6.0,1.5300918055083306,0.45902754165249915,,,0.0,2.1096333016132958,2.0713922145749883,50.0,29.2,63.3,29.2,6.95,3.29,12.8,-2.05,0.29,-1.2,COOL,COOL,COOL,3.65,-2.35,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,69,0,0,SOG,69,,,,,,,,,,False,False,1,,False,0,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Cam York,PHI,D,,GOAL,0,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,BUF,Ukko-Pekka Luukkonen,0.9042056074766355,2.6306409068225567,33.8,Likely,dailyfaceoff_name_and_stats,52.0,79.4,A1+A2,1375.65,96.2,70.4,1.037,NONE,False,False,23.490894209126253,2.169292681263215,18.4,18.4,14,2.8,True,2.0,2.375,2.2,2.0700000000000003,88.3,4.0,1.0,24.0,1.0,2.0,3.0,0.9360861199230329,0.28082583597690985,,,0.0,2.4456566836209412,2.1021251747929375,50.0,55.2,48.7,55.2,5.33,1.12,20.7,1.33,0.12,-3.3,COOL,COOL,COOL,4.2,1.2,COOL,Yellow,Red,Red,Yellow,65,69,49,66,SOG,69,,,,,,,,,,False,False,0,,False,1,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Mattias Samuelsson,BUF,D,,GOAL,0,,Healthy,Unknown,,,7,1.0,🟢 ROLE+,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,47.5,79.4,A1+A2,1361.19,95.2,68.2,1.033,NONE,False,False,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,2.0,1.75,1.8,1.9300000000000002,83.0,8.0,2.0,18.0,1.0,2.0,6.0,1.2701311638718247,0.3735679893740661,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,58.3,48.3,4.53,0.84,19.3,-3.47,-1.16,1.3,COOL,COOL,COOL,3.69,-2.31,COOL,Yellow,Red,Red,Yellow,59,64,44,69,ASSISTS,69,,,,,,,,,,False,False,1,,False,2,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Ryan McLeod,BUF,C,,GOAL,0,,Healthy,Unknown,,,7,0.0,,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,70.6,85.3,A1+A2,1063.66,68.4,75.3,1.046,NONE,False,False,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,1.5,1.375,1.0,1.3250000000000002,71.8,9.0,3.0,14.0,2.0,3.0,6.0,1.5774713718158448,0.7361533068473942,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,64.7,48.3,6.01,1.73,13.25,-2.99,-1.27,-0.75,COOL,COOL,COOL,4.28,-1.72,COOL,Yellow,Red,Red,Yellow,59,68,58,69,ASSISTS,69,,,,,,,,,,False,False,2,,False,2,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Owen Power,BUF,D,,GOAL,0,,Healthy,Unknown,,,7,1.0,🟢 ROLE+,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,46.5,67.6,A1+A2,1267.98,90.4,62.7,1.023,NONE,False,False,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,,,,0.0,32.1,,,,,,,0.977353453541775,0.1628922422569625,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,50.8,48.3,3.41,0.8,0.0,,,,COOL,COOL,COOL,2.62,,COOL,Red,Red,Red,Red,61,48,49,69,ASSISTS,69,,,,,,,,,,False,False,1,,False,2,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Travis Sanheim,PHI,D,,GOAL,0,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,BUF,Ukko-Pekka Luukkonen,0.9042056074766355,2.6306409068225567,33.8,Likely,dailyfaceoff_name_and_stats,56.6,76.5,A1+A2,1461.0,99.5,72.1,1.04,NONE,False,False,23.490894209126253,2.169292681263215,18.4,18.4,14,2.8,True,1.0,1.25,1.4,1.14,69.4,3.0,2.0,13.0,2.0,0.0,1.0,0.940212150433944,0.21697203471552556,,,0.0,2.4456566836209412,2.1021251747929375,50.0,55.2,48.9,55.2,4.4,1.09,11.4,1.4,-0.91,-1.6,COOL,COOL,COOL,3.31,2.31,WARM,Yellow,Red,Red,Yellow,64,66,55,68,ASSISTS,68,,,,,,,,,,False,False,0,,False,1,
