Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Matty Beniers,SEA,C,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,87.4,88.8,1187.02,81.8,86.7,1.044,50.0,50.0,50.2,50.2,2.5,2.25,2.6,2.535,81.6,10.0,5.0,22.0,3.0,3.0,1.5035377358490567,,,2.5269210962979916,2.652056989185787,50.0,85.5,62.6,85.5,7.6,2.86,25.35,-2.4,-2.14,3.35,COOL,COOL,HOT,Yellow,Red,Red,69,97,84,SOG,97,,,,,False
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Nico Hischier,NJD,C,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,96.5,91.4,1252.76,89.0,93.2,1.052,50.0,50.0,50.2,50.2,3.0,3.125,3.8,3.2800000000000002,99.3,7.0,3.0,33.0,1.0,2.0,1.6226988043271968,,,2.5109587199139436,2.554793599569719,50.0,74.9,65.4,74.9,8.95,3.92,32.8,1.95,0.92,-0.2,WARM,COOL,COOL,Green,Yellow,Red,71,94,71,SOG,94,,,,,False
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Timo Meier,NJD,R,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,97.2,73.7,1114.27,73.7,84.3,1.041,50.0,50.0,50.2,50.2,3.0,3.75,3.6,3.21,96.1,2.0,1.0,39.0,0.0,0.0,1.349505984416419,,,2.5109587199139436,2.554793599569719,50.0,74.9,59.4,74.9,7.8,4.5,32.1,5.8,3.5,-6.9,HOT,HOT,COOL,Yellow,Yellow,Red,66,93,67,SOG,93,,,,,False
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jordan Eberle,SEA,R,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,95.9,73.7,1141.0,78.9,84.7,1.042,50.0,50.0,50.2,50.2,2.0,2.125,1.4,1.79,43.4,9.0,6.0,21.0,2.0,2.0,1.2243936896632917,,,2.5269210962979916,2.652056989185787,50.0,85.5,57.1,85.5,7.4,4.17,17.9,-1.6,-1.83,-3.1,COOL,COOL,COOL,Yellow,Red,Red,60,90,85,SOG,90,,,,,False
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Brady Tkachuk,OTT,L,NYR,Jonathan Quick,0.8983516483516484,2.8011440107671604,46.7,Confirmed,dailyfaceoff_name_and_stats,87.9,73.7,1057.2,67.9,79.0,1.035,50.0,50.0,50.2,50.2,3.0,3.25,3.6,3.21,96.1,5.0,2.0,35.0,2.0,0.0,2.2445056372421677,,,2.3718639501599594,2.2225963966997813,50.0,58.6,71.9,58.6,10.4,5.02,32.1,5.4,3.02,-2.9,HOT,HOT,COOL,Yellow,Yellow,Red,68,90,72,SOG,90,,,,,False
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Mika Zibanejad,NYR,C,OTT,Leevi Merilainen,0.8806404657933042,2.95344718912267,75.3,Confirmed,dailyfaceoff_name_fallback_stats,97.5,92.4,1245.43,87.1,93.6,1.052,50.0,50.0,50.2,50.2,1.0,1.375,3.2,1.77,40.8,14.0,6.0,17.0,6.0,5.0,1.5740763232686374,,,2.061266418892403,1.6343867586971075,50.0,15.6,64.5,15.6,9.39,4.13,17.7,-4.61,-1.87,0.7,COOL,COOL,COOL,Green,Red,Red,64,75,89,GOAL,89,,,,,False
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Tage Thompson,BUF,C,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,97.9,88.8,1135.77,77.5,90.6,1.049,50.0,50.0,50.2,50.2,3.0,3.0,3.0,3.0,92.1,11.0,4.0,31.0,2.0,3.0,2.4098867147270853,,,2.223586385649001,2.128094945774504,50.0,48.3,73.3,48.3,9.24,4.47,30.0,-1.76,0.47,-1.0,COOL,COOL,COOL,Yellow,Yellow,Red,62,89,75,SOG,89,,,,,False
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Owen Tippett,PHI,R,BUF,Ukko-Pekka Luukkonen,0.9042056074766355,2.6306409068225567,33.8,Confirmed,dailyfaceoff_name_and_stats,93.4,70.7,988.66,55.0,77.8,1.033,50.0,50.0,50.2,50.2,3.0,3.125,3.0,3.0,92.1,5.0,4.0,36.0,2.0,1.0,2.146873402623956,,,2.4456566836209412,2.1021251747929375,50.0,55.2,70.9,55.2,6.35,3.53,30.0,1.35,-0.47,-6.0,WARM,COOL,COOL,Yellow,Yellow,Red,56,88,73,SOG,88,,,,,False
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Artemi Panarin,NYR,L,OTT,Leevi Merilainen,0.8806404657933042,2.95344718912267,75.3,Confirmed,dailyfaceoff_name_fallback_stats,91.0,98.2,1249.46,88.5,93.0,1.052,50.0,50.0,50.2,50.2,3.0,2.75,3.0,3.0,92.1,14.0,3.0,28.0,2.0,7.0,2.359933572240189,,,2.061266418892403,1.6343867586971075,50.0,15.6,72.6,15.6,10.85,3.08,30.0,-3.15,0.08,2.0,COOL,COOL,HOT,Green,Yellow,Red,67,87,74,SOG,87,,,,,False
2026-01-14,OTT@NYR,6:30 PM,2026-01-15T00:30:00Z,Dylan Cozens,OTT,C,NYR,Jonathan Quick,0.8983516483516484,2.8011440107671604,46.7,Confirmed,dailyfaceoff_name_and_stats,92.8,86.8,1053.33,67.0,85.5,1.043,50.0,50.0,50.2,50.2,2.5,2.375,2.4,2.465,78.3,4.0,1.0,23.0,1.0,0.0,1.1980033277870217,,,2.3718639501599594,2.2225963966997813,50.0,58.6,56.1,58.6,7.74,3.34,24.65,3.74,2.34,1.65,HOT,HOT,WARM,Yellow,Red,Red,72,87,72,SOG,87,,,,,False
