Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Jaden Schwartz,SEA,L,Yellow,74.66986794717887,53.96158463385354,,0.07695596408721676,,53.0,66.0,68.0,,,,COOL,COOL,COOL
Sam Carrick,NYR,C,Yellow,67.3469387755102,48.67947178871548,,0.009778357235984355,,49.0,61.0,62.0,,,,COOL,COOL,COOL
Sam Carrick,NYR,C,Yellow,67.3469387755102,48.67947178871548,,0.01935483870967742,,49.0,61.0,62.0,,,,COOL,COOL,COOL
Sam Carrick,NYR,C,Yellow,67.3469387755102,48.67947178871548,,0.0,,49.0,61.0,62.0,,,,COOL,COOL,COOL
Matthew Schaefer,NYI,D,Yellow,77.31092436974791,85.1140456182473,,0.013277861379127202,,75.0,68.0,70.0,,,,COOL,COOL,COOL
Matthew Schaefer,NYI,D,Yellow,77.31092436974791,85.1140456182473,,0.0,,75.0,68.0,70.0,,,,COOL,COOL,COOL
Matthew Schaefer,NYI,D,Yellow,77.31092436974791,85.1140456182473,,0.07727432384966632,,75.0,68.0,70.0,,,,COOL,COOL,COOL
Vladislav Kolyachonok,BOS,D,Red,17.52701080432173,26.290516206482593,,0.01889962200755985,,33.0,29.0,27.0,,,,COOL,COOL,COOL
Vladislav Kolyachonok,BOS,D,Red,17.52701080432173,26.290516206482593,,0.0,,33.0,29.0,27.0,,,,COOL,COOL,COOL
Vladislav Kolyachonok,BOS,D,Red,17.52701080432173,26.290516206482593,,,,33.0,29.0,27.0,,,,COOL,COOL,COOL
Joel Nystrom,CAR,D,Red,32.41296518607443,59.06362545018007,,0.01816874219311859,,57.0,39.0,37.0,,,,COOL,COOL,COOL
Joel Nystrom,CAR,D,Red,32.41296518607443,59.06362545018007,,0.0,,57.0,39.0,37.0,,,,COOL,COOL,COOL
Joel Nystrom,CAR,D,Red,32.41296518607443,59.06362545018007,,0.0,,57.0,39.0,37.0,,,,COOL,COOL,COOL
Jeff Petry,FLA,D,Red,29.4717887154862,59.06362545018007,,0.011635799476389024,,57.0,37.0,35.0,,,,COOL,COOL,COOL
Jeff Petry,FLA,D,Red,29.4717887154862,59.06362545018007,,0.0,,57.0,37.0,35.0,,,,COOL,COOL,COOL
Jeff Petry,FLA,D,Red,29.4717887154862,59.06362545018007,,0.06033182503770739,,57.0,37.0,35.0,,,,COOL,COOL,COOL
Beckett Sennecke,ANA,R,Yellow,90.51620648259305,88.35534213685474,,0.03966087081477224,,78.0,76.0,79.0,,,,COOL,COOL,COOL
Beckett Sennecke,ANA,R,Yellow,90.51620648259305,88.35534213685474,,0.0,,78.0,76.0,79.0,,,,COOL,COOL,COOL
Beckett Sennecke,ANA,R,Yellow,90.51620648259305,88.35534213685474,,0.07072135785007072,,78.0,76.0,79.0,,,,COOL,COOL,COOL
Ryan Donato,CHI,C,Yellow,82.53301320528212,59.06362545018007,,0.024966562639322336,,57.0,71.0,73.0,,,,COOL,COOL,COOL
Ryan Donato,CHI,C,Yellow,82.53301320528212,59.06362545018007,,0.0,,57.0,71.0,73.0,,,,COOL,COOL,COOL
Ryan Donato,CHI,C,Yellow,82.53301320528212,59.06362545018007,,0.030635690579525147,,57.0,71.0,73.0,,,,COOL,COOL,COOL
Olle Lycksell,OTT,R,Red,18.007202881152462,19.08763505402161,,0.02896451846488052,,28.0,29.0,27.0,,,,COOL,COOL,COOL
Olle Lycksell,OTT,R,Red,18.007202881152462,19.08763505402161,,0.0,,28.0,29.0,27.0,,,,COOL,COOL,COOL
Olle Lycksell,OTT,R,Red,18.007202881152462,19.08763505402161,,,,28.0,29.0,27.0,,,,COOL,COOL,COOL
Ryker Evans,SEA,D,Red,18.42737094837935,48.67947178871548,,0.015315890236119975,,49.0,29.0,27.0,,,,COOL,COOL,COOL
Ryker Evans,SEA,D,Red,18.42737094837935,48.67947178871548,,0.0,,49.0,29.0,27.0,,,,COOL,COOL,COOL
