Player,Team,Pos,Matrix,iXG_pct,iXA_pct,Med10_SOG,i5v5_points60,i5v5_iCF60,Conf_Point,Conf_SOG,Conf_Goal,Reg_P10,Reg_G10,Reg_SOG10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S
Fabian Zetterlund,OTT,L,Yellow,81.87274909963985,59.06362545018007,,0.09624639076034648,,57.0,71.0,73.0,,,,COOL,COOL,COOL
Andrew Peeke,BOS,D,Red,40.0360144057623,43.037214885954384,,0.011358258400378608,,45.0,44.0,43.0,,,,COOL,COOL,COOL
Andrew Peeke,BOS,D,Red,40.0360144057623,43.037214885954384,,0.0,,45.0,44.0,43.0,,,,COOL,COOL,COOL
Andrew Peeke,BOS,D,Red,40.0360144057623,43.037214885954384,,0.0,,45.0,44.0,43.0,,,,COOL,COOL,COOL
Kaiden Guhle,MTL,D,Red,10.024009603841536,19.08763505402161,,0.022878932316491896,,28.0,24.0,21.0,,,,COOL,COOL,COOL
Kaiden Guhle,MTL,D,Red,10.024009603841536,19.08763505402161,,0.0,,28.0,24.0,21.0,,,,COOL,COOL,COOL
Kaiden Guhle,MTL,D,Red,10.024009603841536,19.08763505402161,,0.0,,28.0,24.0,21.0,,,,COOL,COOL,COOL
Darren Raddysh,TBL,D,Yellow,71.30852340936374,93.57743097238895,,0.028853089685020438,,81.0,64.0,65.0,,,,COOL,COOL,COOL
Darren Raddysh,TBL,D,Yellow,71.30852340936374,93.57743097238895,,0.0,,81.0,64.0,65.0,,,,COOL,COOL,COOL
Darren Raddysh,TBL,D,Yellow,71.30852340936374,93.57743097238895,,0.08630609896432681,,81.0,64.0,65.0,,,,COOL,COOL,COOL
Matt Kiersted,MIN,D,Red,3.12124849939976,19.08763505402161,,0.0,,28.0,20.0,16.0,,,,COOL,COOL,COOL
Matt Kiersted,MIN,D,Red,3.12124849939976,19.08763505402161,,0.25316455696202533,,28.0,20.0,16.0,,,,COOL,COOL,COOL
