Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-08,MIN@SEA,9:00 PM,2026-01-09T03:00:00Z,Vince Dunn,SEA,D,Healthy,Unknown,,,3,1.0,🟢 ROLE+,MIN,Jesper Wallstedt,0.9261992619926199,2.3003194888178915,2.8,Confirmed,dailyfaceoff_name_and_stats,54.5,86.0,1343.92,94.6,73.6,1.028,50.0,50.0,50.1,50.1,1.0,1.5,1.4,1.14,15.7,5.0,1.0,16.0,1.0,3.0,0.6470165348670022,,,2.425717004213674,1.9301345657197226,50.0,27.6,42.0,27.6,5.4,1.04,11.4,0.4,0.04,-4.6,COOL,COOL,COOL,Yellow,Red,Red,57,41,42,POINTS,57,,,,,False
2026-01-08,MIN@SEA,9:00 PM,2026-01-09T03:00:00Z,Shane Wright,SEA,C,Healthy,Unknown,,,3,0.0,,MIN,Jesper Wallstedt,0.9261992619926199,2.3003194888178915,2.8,Confirmed,dailyfaceoff_name_and_stats,83.8,57.8,838.95,40.9,66.1,1.019,50.0,50.0,50.1,50.1,1.0,1.5,1.4,1.14,15.7,2.0,1.0,17.0,1.0,0.0,1.2099620206365744,,,2.425717004213674,1.9301345657197226,50.0,27.6,55.1,27.6,4.42,2.43,11.4,2.42,1.43,-5.6,HOT,WARM,COOL,Red,Red,Red,45,51,57,GOAL,57,,,,,False
2026-01-08,BUF@NYR,6:00 PM,2026-01-09T00:00:00Z,Peyton Krebs,BUF,C,Healthy,Unknown,,,6,0.0,,NYR,Jonathan Quick,0.918918918918919,2.2341168256923436,2.4,Confirmed,dailyfaceoff_name_and_stats,72.0,69.8,841.54,41.2,65.1,1.018,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.0962574987058071,,,2.3352681018494184,2.2165989622832774,50.0,34.9,52.3,34.9,4.5,1.77,,,,,COOL,COOL,COOL,Red,Red,Red,52,57,56,SOG,57,,,,,False
2026-01-08,MIN@SEA,9:00 PM,2026-01-09T03:00:00Z,Marcus Foligno,MIN,L,Healthy,Unknown,,,0,0.0,,SEA,Philipp Grubauer,0.9263157894736842,2.214751829147716,0.4,Likely,dailyfaceoff_name_and_stats,58.9,36.5,769.41,31.4,45.6,0.995,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.7743600774360078,,,2.539925301049649,2.608023697598042,50.0,75.1,44.0,75.1,2.51,1.33,,,,,COOL,COOL,COOL,Red,Red,Red,37,57,51,SOG,57,,,,,False
2026-01-08,EDM@WPG,7:00 PM,2026-01-09T01:00:00Z,Dylan Samberg,WPG,D,Healthy,Unknown,,,1,0.0,,EDM,Calvin Pickard,0.8730964467005076,3.730724589620295,98.1,Confirmed,dailyfaceoff_name_and_stats,31.6,42.1,1292.92,91.5,47.2,0.997,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.528828497980169,,,2.5029921695921726,2.4091195790963496,50.0,55.2,39.8,55.2,2.68,0.69,,,,,COOL,COOL,COOL,Red,Red,Red,48,56,47,SOG,56,,,,,False
2026-01-08,EDM@WPG,7:00 PM,2026-01-09T01:00:00Z,Cole Koepke,WPG,L,Healthy,Unknown,,,1,0.0,,EDM,Calvin Pickard,0.8730964467005076,3.730724589620295,98.1,Confirmed,dailyfaceoff_name_and_stats,44.5,36.5,623.85,13.9,35.5,0.983,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.6517549896765313,,,2.5029921695921726,2.4091195790963496,50.0,55.2,63.5,55.2,2.61,1.1,,,,,COOL,COOL,COOL,Red,Red,Red,42,56,51,SOG,56,,,,,False
2026-01-08,EDM@WPG,7:00 PM,2026-01-09T01:00:00Z,Logan Stanley,WPG,D,Healthy,Unknown,,,1,0.0,,EDM,Calvin Pickard,0.8730964467005076,3.730724589620295,98.1,Confirmed,dailyfaceoff_name_and_stats,37.6,47.4,969.72,58.3,45.2,0.994,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,1.0897382976966896,,,2.5029921695921726,2.4091195790963496,50.0,55.2,52.2,55.2,2.04,0.55,,,,,COOL,COOL,COOL,Red,Red,Red,50,56,49,SOG,56,,,,,False
2026-01-08,FLA@MTL,6:00 PM,2026-01-09T00:00:00Z,Aaron Ekblad,FLA,D,Healthy,Unknown,,,6,1.0,🟢 ROLE+,MTL,Sam Montembeault,0.865,3.477141017385705,90.9,Confirmed,dailyfaceoff_name_and_stats,49.5,75.7,1341.98,94.5,67.7,1.021,50.0,50.0,50.1,50.1,1.0,1.125,1.8,1.28,22.5,6.0,2.0,14.0,2.0,1.0,0.982240301617224,,,2.3944282566981734,2.132044630800938,50.0,32.3,48.5,32.3,4.1,0.86,12.8,-1.9,-1.14,-1.2,COOL,COOL,COOL,Yellow,Red,Red,56,52,53,POINTS,56,,,,,False
2026-01-08,CGY@BOS,6:00 PM,2026-01-09T00:00:00Z,Joel Hanley,CGY,D,Healthy,Unknown,,,4,0.0,,BOS,Joonas Korpisalo,0.882494004796163,3.595597227884223,90.8,Confirmed,dailyfaceoff_name_and_stats,29.1,47.4,892.05,48.2,39.3,0.987,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.6690620740924297,,,2.675097891383126,2.5099107425152614,50.0,81.2,42.3,81.2,1.85,0.37,,,,,COOL,COOL,COOL,Red,Red,Red,50,56,45,SOG,56,,,,,False
2026-01-08,CGY@BOS,6:00 PM,2026-01-09T00:00:00Z,John Beecher,CGY,C,IR,Unknown,,,4,-3.0,🔴 OUT,BOS,Joonas Korpisalo,0.882494004796163,3.595597227884223,90.8,Confirmed,dailyfaceoff_name_and_stats,36.6,26.4,589.16,11.4,28.0,0.974,50.0,50.0,50.1,50.1,,,,,50.0,,,,,,0.5797101449275363,,,2.675097891383126,2.5099107425152614,50.0,81.2,40.6,81.2,1.61,0.83,,,,,COOL,COOL,COOL,Red,Red,Red,36,56,48,SOG,56,,,,,False
