Date,Game,Player,Team,Pos,Tag,Regression_Heat,Regression_Score,Exp_P_10,L10_P,iXG%,iXA%,Med10_SOG,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp5v5_xGA60,opp5v5_HDCA60,opp5v5_slotShotsAgainst60,Best_Market,Best_Conf,Best_Color,Conf_Goal,Goal_Color,Conf_SOG,SOG_Color,Conf_Point,Point_Color,Matrix_SOG,Line,Odds,Actual,Hit,Result
2026-01-05,SEA@CGY,Oscar Fisker Molgaard,SEA,C,,COOL,0.0,5.35,,4.2,19.1,,0.08333333333333333,,,0.08333333333333333,2.418980739040159,2.3092894883438277,,POINTS,27.0,Red,16.0,Red,18.0,Red,27.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Rory Kerins,CGY,C,,COOL,0.0,4.8,,22.2,7.3,,0.0,,,0.0,2.4967343515718317,2.5311952019111033,,SOG,31.0,Red,29.0,Red,31.0,Red,18.0,Red,Red,,,,,
2026-01-05,ANA@WSH,Olen Zellweger,ANA,D,,COOL,0.0,3.79,,63.5,67.5,,0.9553886574135506,,,3.248321435206072,2.53865686440473,2.321588353365094,,POINTS,63.0,Yellow,60.0,Gray,59.0,Gray,63.0,Yellow,Red,,,,,
2026-01-05,DET@OTT,Nate Danielson,DET,C,,COOL,0.0,3.25,,55.8,43.0,,0.8980355472404116,,,1.3470533208606175,2.03697721571188,1.5773737929138458,,GOAL,54.0,Gray,54.0,Gray,54.0,Gray,45.0,Red,Red,,,,,
2026-01-05,MIN@LAK,Joel Armia,LAK,R,,COOL,-0.24,3.51,2.0,72.3,54.0,0.0,1.1682832726354884,,,1.6875202826957054,2.4001480373485893,1.915233197375421,,GOAL,66.0,Yellow,66.0,Yellow,66.0,Yellow,57.0,Gray,Red,,,,,
2026-01-05,ANA@WSH,Ryan Strome,ANA,C,,COOL,0.0,3.67,,52.9,37.0,,1.375726077652094,,,2.4763069397737696,2.53865686440473,2.321588353365094,,GOAL,52.0,Gray,52.0,Gray,52.0,Gray,40.0,Red,Red,,,,,
2026-01-05,UTA@NYR,Vladislav Gavrikov,NYR,D,,COOL,0.0,2.57,,46.8,59.1,,0.8221211486859383,,,1.781262488819533,2.3006725398557215,1.9052581869107135,,POINTS,57.0,Gray,48.0,Red,48.0,Red,57.0,Gray,Red,,,,,
2026-01-05,MIN@LAK,Joel Edmundson,LAK,D,,WARM,1.56,3.56,2.0,39.4,73.6,0.0,1.0049690134554186,,,2.2109318296019205,2.4001480373485893,1.915233197375421,,POINTS,72.0,Yellow,43.0,Red,43.0,Red,72.0,Yellow,Red,,,,,
2026-01-05,SEA@CGY,Blake Coleman,CGY,L,,COOL,0.0,4.69,8.0,89.0,59.1,0.0,1.777997283615261,,,2.7781207556488456,2.4967343515718317,2.5311952019111033,,SOG,77.0,Green,74.0,Yellow,77.0,Green,49.0,Red,Red,,,,,
2026-01-05,SEA@CGY,Dryden Hunt,CGY,L,,COOL,0.0,2.0,,13.0,7.3,,0.0,,,0.0,2.4967343515718317,2.5311952019111033,,SOG,24.0,Red,22.0,Red,24.0,Red,18.0,Red,Red,,,,,
