Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jordan Eberle,SEA,R,,Healthy,Unknown,,,2,0.0,,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,95.9,73.7,A1+A2,19.02,58.9,80.7,1.06,NONE,False,False,23.396530859217428,2.0855183541750706,6.2,6.2,20,4.0,True,2.0,2.125,1.4,1.79,43.4,9.0,6.0,21.0,2.0,2.0,3.0,1.2243936896632917,0.2825523899222981,,,0.0,2.5269210962979916,2.652056989185787,50.0,85.5,57.1,85.5,7.49,4.23,17.9,-1.51,-1.77,-3.1,COOL,COOL,COOL,3.27,0.27,COOL,Yellow,Red,Red,Yellow,60,83,89,71,GOAL,89,0.0,3.0,0.0,5.0,,,,🥅 D:0,,False,False,0,,False,1,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Nico Hischier,NJD,C,⭐ STAR,Healthy,Unknown,,,2,0.0,,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,96.5,91.4,A1+A2,20.88,68.9,89.2,1.07,STAR,False,True,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.125,3.8,3.2800000000000002,99.3,7.0,3.0,33.0,1.0,2.0,4.0,1.6226988043271968,0.7686468020497248,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,65.4,74.9,9.1,3.99,32.8,2.1,0.99,-0.2,WARM,COOL,COOL,5.12,1.12,COOL,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,88,0,0,SOG,88,0.0,0.0,1.0,2.0,,,,🎯 D:2,🎯 SOG EARNED,False,False,2,,True,4,"SI,REG,VOL"
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Timo Meier,NJD,R,,Healthy,Unknown,,,2,0.0,,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,97.2,73.7,A1+A2,18.57,54.1,80.3,1.06,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.75,3.6,3.21,96.1,2.0,1.0,39.0,0.0,0.0,1.0,1.349505984416419,0.38557313840469115,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,59.4,74.9,7.91,4.56,32.1,5.91,3.56,-6.9,HOT,HOT,COOL,3.35,2.35,WARM,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,84,0,0,SOG,84,5.0,6.0,5.0,2.0,,,,🎯 D:2,🎯 SOG EARNED,False,False,0,,True,4,"SI,REG,VOL"
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Matty Beniers,SEA,C,,Healthy,Unknown,,,2,0.0,,NJD,Jacob Markstrom,0.87893864013267,3.412543825477211,89.1,Confirmed,dailyfaceoff_name_and_stats,87.4,88.8,A1+A2,19.78,61.7,82.7,1.06,NONE,False,False,23.396530859217428,2.0855183541750706,6.2,6.2,20,4.0,True,2.5,2.25,2.6,2.535,81.6,10.0,5.0,22.0,3.0,3.0,5.0,1.5035377358490567,0.5306603773584906,,,0.0,2.5269210962979916,2.652056989185787,50.0,85.5,62.6,85.5,7.71,2.9,25.35,-2.29,-2.1,3.35,COOL,COOL,HOT,4.81,-0.19,COOL,Yellow,Red,Red,Yellow,69,78,83,77,GOAL,83,0.0,0.0,1.0,2.0,,,,🥅 D:1,,False,False,1,,False,1,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Trevor Zegras,PHI,C,,Healthy,Unknown,,,2,0.0,,BUF,Ukko-Pekka Luukkonen,0.9042056074766355,2.6306409068225567,33.8,Confirmed,dailyfaceoff_name_and_stats,88.3,93.3,A1+A2,18.78,56.0,83.6,1.06,NONE,False,False,23.490894209126253,2.169292681263215,18.4,18.4,14,2.8,True,1.5,1.5,1.8,1.605,33.6,6.0,2.0,15.0,2.0,0.0,4.0,2.245957276901577,0.8983829107606308,,,0.0,2.4456566836209412,2.1021251747929375,50.0,55.2,72.1,55.2,8.74,2.96,16.05,2.74,0.96,1.05,HOT,COOL,COOL,5.78,1.78,WARM,Green,Red,Red,Yellow,76,66,70,81,ASSISTS,81,3.0,6.0,3.0,3.0,,,,🅰️ D:6,,False,False,3,,False,1,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Tage Thompson,BUF,C,,Healthy,Unknown,,,6,0.0,,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,97.9,88.8,A1+A2,18.93,57.4,86.6,1.07,NONE,False,False,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,3.0,3.0,3.0,3.0,92.1,11.0,4.0,31.0,2.0,3.0,7.0,2.4098867147270853,0.741503604531411,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,73.3,48.3,9.39,4.54,30.0,-1.61,0.54,-1.0,COOL,COOL,COOL,4.85,-2.15,COOL,Yellow,Yellow,Yellow,Yellow,61,80,74,70,SOG,80,0.0,0.0,1.0,0.0,,,,🎯 D:0,,False,False,3,,False,1,
2026-01-14,PHI@BUF,6:30 PM,2026-01-15T00:30:00Z,Rasmus Dahlin,BUF,D,,Healthy,Unknown,,,6,1.0,🟢 ROLE+,PHI,Dan Vladar,0.9071428571428571,2.416930910893748,23.8,Confirmed,dailyfaceoff_name_and_stats,68.7,95.3,A1+A2,24.19,78.9,80.1,1.05,NONE,False,False,27.189329563440232,2.5532523011202115,79.2,93.5,19,3.8,True,2.0,2.5,1.6,1.8599999999999999,49.3,4.0,1.0,25.0,0.0,2.0,3.0,1.160092807424594,0.6187161639597835,,,0.0,2.223586385649001,2.128094945774504,50.0,48.3,55.4,48.3,8.65,1.8,18.6,4.65,0.8,-6.4,HOT,COOL,COOL,6.85,3.85,HOT,Yellow,Red,Red,Yellow,80,59,57,80,ASSISTS,80,0.0,0.0,9.0,1.0,,,,🅰️ D:0,,False,False,3,,False,1,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jack Hughes,NJD,C,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,83.2,84.2,A1+A2,21.29,71.8,81.3,1.06,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.125,3.6,3.21,96.1,7.0,0.0,32.0,0.0,4.0,7.0,2.1822071670529506,0.513460509894812,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,71.2,74.9,10.3,3.88,32.1,3.3,3.88,0.1,HOT,HOT,COOL,6.41,-0.59,COOL,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,80,0,0,SOG,80,0.0,0.0,10.0,0.0,,,,🎯 D:0,🎯 SOG EARNED,False,False,2,,True,3,"SI,VOL"
2026-01-14,VGK@LAK,9:00 PM,2026-01-15T03:00:00Z,Mark Stone,VGK,R,,Healthy,Unknown,,,5,0.0,,LAK,Darcy Kuemper,0.9047619047619048,2.4862123738395208,29.0,Confirmed,dailyfaceoff_name_and_stats,87.5,95.3,A1+A2,19.32,61.2,85.0,1.06,NONE,False,False,26.051740544846968,2.4089229203089384,43.8,68.7,22,4.4,True,2.0,2.0,2.0,2.0,58.6,14.0,8.0,19.0,4.0,5.0,6.0,2.5197952666345858,0.9449232249879698,,,0.0,2.163529543838641,1.6704711297384276,50.0,30.3,73.8,30.3,14.45,4.58,20.0,0.45,-3.42,1.0,COOL,COOL,COOL,9.87,3.87,HOT,Green,Red,Red,Green,65,65,74,79,ASSISTS,79,0.0,0.0,1.0,2.0,,,,🅰️ D:0,🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL",False,1,
2026-01-14,SEA@NJD,6:00 PM,2026-01-15T00:00:00Z,Jesper Bratt,NJD,L,,Healthy,Unknown,,,2,0.0,,SEA,Philipp Grubauer,0.9243119266055045,2.2482116498240035,1.4,Confirmed,dailyfaceoff_name_and_stats,88.7,94.3,A1+A2,18.97,57.9,84.5,1.06,NONE,False,False,27.627739314527666,2.3729473021685643,93.1,55.7,10,2.0,False,3.0,3.0,2.6,2.8600000000000003,88.8,7.0,5.0,31.0,2.0,1.0,2.0,1.6528504017344727,0.7346001785486546,,,0.0,2.5109587199139436,2.554793599569719,50.0,74.9,66.4,74.9,8.63,2.86,28.6,1.63,-2.14,-2.4,WARM,COOL,COOL,5.77,3.77,HOT,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,79,0,0,SOG,79,0.0,1.0,0.0,0.0,,,,🎯 D:0,,False,False,3,,False,1,
