Date,Game,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,iXG%,iXA%,Med10_SOG,Trim10_SOG,Avg5_SOG,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,i5v5_oiGF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result
2026-01-05,ANA@WSH,Tom Wilson,WSH,R,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,98.3,91.4,3.5,2.875,2.6,10.0,5.0,29.0,5.0,3.0,2.622154779969651,,,3.496206373292868,2.566977363515313,2.1870838881491346,,69.7,74.2,69.7,9.11,4.23,28.75,-0.89,-0.77,-0.25,COOL,COOL,COOL,Green,Green,Yellow,76,86,93,GOAL,93,,,
2026-01-05,ANA@WSH,Aliaksei Protas,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,90.6,82.5,2.0,2.125,2.6,11.0,6.0,23.0,4.0,5.0,2.2643986216704044,,,3.7411803314554506,2.566977363515313,2.1870838881491346,,69.7,72.6,69.7,6.61,2.96,21.25,-4.39,-3.04,-1.75,COOL,COOL,COOL,Green,Red,Yellow,71,74,85,GOAL,85,,,
2026-01-05,ANA@WSH,Alex Ovechkin,WSH,L,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,97.6,89.9,2.5,2.75,3.0,3.0,1.0,27.0,1.0,2.0,2.4489038681549737,,,3.2281005534770104,2.566977363515313,2.1870838881491346,,69.7,72.4,69.7,8.49,3.97,27.5,5.49,2.97,0.5,HOT,HOT,COOL,Green,Red,Yellow,85,81,77,POINTS,85,,,
2026-01-05,ANA@WSH,Troy Terry,ANA,R,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,92.0,97.1,2.5,2.375,2.4,6.0,4.0,25.0,3.0,1.0,2.4032771961766044,,,3.277196176604461,2.53865686440473,2.321588353365094,,72.8,72.2,72.8,9.5,3.16,23.75,3.5,-0.84,-1.25,HOT,COOL,COOL,Green,Red,Yellow,84,72,76,POINTS,84,,,
2026-01-05,ANA@WSH,Leo Carlsson,ANA,C,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,89.6,96.3,3.0,2.125,2.6,4.0,1.0,21.0,0.0,1.0,1.8277932084938626,,,2.795448436520025,2.53865686440473,2.321588353365094,,72.8,66.0,72.8,9.13,2.88,21.25,5.13,1.88,0.25,HOT,WARM,COOL,Green,Yellow,Yellow,84,73,62,POINTS,84,,,
2026-01-05,ANA@WSH,Jakob Chychrun,WSH,D,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,90.4,85.1,3.5,3.375,3.2,5.0,3.0,36.0,1.0,2.0,1.5908756128869341,,,3.560531133604091,2.566977363515313,2.1870838881491346,,69.7,67.4,69.7,6.69,2.88,33.75,1.69,-0.12,-2.25,WARM,COOL,COOL,Green,Green,Green,75,82,73,SOG,82,,,
2026-01-05,ANA@WSH,Cutter Gauthier,ANA,L,WSH,Logan Thompson,0.9145299145299145,2.373216556010736,12.4,92.4,89.9,3.0,3.5,5.0,4.0,3.0,38.0,1.0,1.0,2.605448281851605,,,3.4391917320441188,2.53865686440473,2.321588353365094,,72.8,73.9,72.8,7.83,3.19,35.0,3.83,0.19,-3.0,HOT,COOL,COOL,Green,Yellow,Yellow,82,74,68,POINTS,82,,,
2026-01-05,ANA@WSH,John Carlson,WSH,D,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,70.1,92.7,1.0,1.375,1.6,5.0,2.0,16.0,0.0,0.0,1.7359622803257608,,,3.568366909558508,2.566977363515313,2.1870838881491346,,69.7,68.9,69.7,7.23,1.7,13.75,2.23,-0.3,-2.25,HOT,COOL,COOL,Green,Red,Red,81,58,57,POINTS,81,,,
2026-01-05,DET@OTT,Alex DeBrincat,DET,R,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,99.5,91.4,3.0,3.25,2.2,5.0,4.0,34.0,2.0,0.0,2.3370685032035903,,,3.1499618956222304,2.03697721571188,1.5773737929138458,,16.1,71.1,16.1,9.25,4.6,32.5,4.25,0.6,-1.5,HOT,COOL,COOL,Green,Yellow,Yellow,80,79,77,POINTS,80,,,
2026-01-05,DET@OTT,Tim Sttzle,OTT,C,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,95.8,95.3,3.0,2.75,2.4,15.0,5.0,29.0,2.0,3.0,2.4220441116246416,,,3.369800503129936,2.521235430688774,2.4483478342440375,,72.3,72.7,72.3,9.82,3.82,27.5,-5.18,-1.18,-1.5,COOL,COOL,COOL,Green,Yellow,Yellow,77,80,78,SOG,80,,,
2026-01-05,DET@OTT,Brady Tkachuk,OTT,L,DET,John Gibson,0.8950617283950617,2.93398533007335,54.9,86.3,76.5,4.0,4.125,3.4,10.0,5.0,45.0,0.0,3.0,2.5210084033613445,,,2.750190985485103,2.521235430688774,2.4483478342440375,,72.3,69.5,72.3,11.62,5.12,41.25,1.62,0.12,-3.75,WARM,COOL,COOL,Yellow,Green,Green,70,80,64,SOG,80,,,
2026-01-05,UTA@NYR,Artemi Panarin,NYR,L,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,90.0,97.6,4.5,4.625,3.4,12.0,6.0,46.0,3.0,5.0,2.2457352623623406,,,3.109479594040164,2.3006725398557215,1.9052581869107135,,31.6,70.7,31.6,9.45,2.78,46.25,-2.55,-3.22,0.25,COOL,COOL,COOL,Green,Green,Green,74,80,74,SOG,80,,,
2026-01-05,SEA@CGY,Nazem Kadri,CGY,C,SEA,Joey Daccord,0.9019033674963397,2.7729237560930744,41.0,88.0,95.3,2.0,2.0,1.8,6.0,2.0,21.0,0.0,1.0,1.7787049490818259,,,2.2727896571601107,2.4967343515718317,2.5311952019111033,,71.7,61.2,71.7,8.55,2.7,20.0,2.55,0.7,-1.0,HOT,COOL,COOL,Green,Red,Yellow,80,70,64,POINTS,80,,,
2026-01-05,UTA@NYR,Mika Zibanejad,NYR,C,UTA,Karel Vejmelka,0.8937823834196891,2.7237246380823206,50.8,97.4,91.4,1.5,1.375,1.4,11.0,4.0,17.0,3.0,5.0,1.4388872605185323,,,1.822590529990141,2.3006725398557215,1.9052581869107135,,31.6,55.0,31.6,8.69,3.93,13.75,-2.31,-0.07,-3.25,COOL,COOL,COOL,Green,Red,Yellow,67,69,79,GOAL,79,,,
2026-01-05,UTA@NYR,Dylan Guenther,UTA,R,NYR,Igor Shesterkin,0.9123931623931624,2.46864024084295,18.0,94.4,85.1,3.5,3.5,4.0,11.0,7.0,34.0,4.0,4.0,2.4627631456201997,,,3.0224820423520633,2.3089910965539513,2.1589703372237854,,42.5,71.7,42.5,7.23,3.42,35.0,-3.77,-3.58,1.0,COOL,COOL,WARM,Green,Green,Yellow,66,75,79,GOAL,79,,,
2026-01-05,MIN@LAK,Matt Boldy,MIN,L,LAK,Darcy Kuemper,0.9107981220657277,2.3303087772692685,16.3,98.6,93.6,3.5,3.375,3.8,11.0,8.0,33.0,4.0,1.0,2.5018041857108493,,,3.367813326918451,2.2119651749720517,1.7683525864697314,,23.6,73.0,23.6,9.27,4.16,33.75,-1.73,-3.84,0.75,COOL,COOL,COOL,Green,Green,Yellow,69,76,79,GOAL,79,,,
2026-01-05,ANA@WSH,Connor McMichael,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,86.9,85.1,1.5,1.5,1.4,4.0,0.0,16.0,0.0,2.0,1.9907834101382489,,,2.8755760368663594,2.566977363515313,2.1870838881491346,,69.7,67.5,69.7,6.31,2.5,15.0,2.31,2.5,-1.0,HOT,HOT,COOL,Green,Red,Yellow,77,70,67,POINTS,77,,,
2026-01-05,ANA@WSH,Dylan Strome,WSH,C,ANA,Lukas Dostal,0.8865248226950354,3.224325746464997,74.8,82.9,94.4,2.0,2.375,2.6,10.0,4.0,23.0,3.0,3.0,2.0921717905503576,,,3.6613006334631253,2.566977363515313,2.1870838881491346,,69.7,71.8,69.7,8.05,2.3,23.75,-1.95,-1.7,0.75,COOL,COOL,COOL,Green,Red,Red,77,70,76,POINTS,77,,,
