Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Sean Durzi,UTA,D,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,41.0,65.4,1222.74,88.1,59.0,1.011,NONE,False,False,27.399304988688574,2.663246029339739,75.2,91.7,,,,,50.0,,,,,,1.339451816941585,,,2.4355116468775493,2.583159612072872,50.0,57.2,58.8,57.2,5.49,1.09,,,,,COOL,COOL,COOL,Red,Red,Red,59,55,47,POINTS,59,,,,,False
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Nino Niederreiter,WPG,R,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Likely,dailyfaceoff_name_and_stats,86.1,61.6,831.46,36.4,67.6,1.021,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,1.5,1.5,1.6,1.5350000000000001,39.0,0.0,0.0,15.0,0.0,0.0,0.9706774519716885,,,2.2065012955772785,1.743580636568375,50.0,17.2,48.2,17.2,4.9,2.66,15.35,4.9,2.66,0.35,HOT,HOT,COOL,Red,Red,Red,51,59,55,SOG,59,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Daniil But,UTA,L,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,57.5,26.5,768.12,28.5,40.9,0.989,NONE,False,False,27.399304988688574,2.663246029339739,75.2,91.7,,,,,50.0,,,,,,0.3199431212228937,,,2.4355116468775493,2.583159612072872,50.0,57.2,36.3,57.2,3.75,2.59,,,,,COOL,COOL,COOL,Red,Red,Red,32,58,54,SOG,58,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Justin Faulk,STL,D,Healthy,Unknown,,,4,1.0,🟢 ROLE+,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,56.8,65.4,1355.64,95.4,67.5,1.021,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,0.8899693042994582,,,2.2725470531986844,1.8471441565408027,50.0,31.5,45.9,31.5,3.33,1.01,,,,,COOL,COOL,COOL,Red,Red,Red,56,58,54,SOG,58,,,,,False
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Artyom Levshunov,CHI,D,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.914519906323185,2.3963452998623103,13.1,Confirmed,dailyfaceoff_name_and_stats,45.8,87.0,1110.2,76.8,66.4,1.02,NONE,False,False,24.4073515742773,2.2520562068938585,26.8,25.5,1.5,1.375,1.6,1.5350000000000001,39.0,6.0,1.0,15.0,1.0,2.0,0.7787782915551229,,,2.572238918395425,2.4073234283606064,50.0,53.0,42.2,53.0,5.24,0.76,15.35,-0.76,-0.24,0.35,COOL,COOL,COOL,Yellow,Red,Red,58,48,39,POINTS,58,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Colton Parayko,STL,D,Healthy,Unknown,,,4,1.0,🟢 ROLE+,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,40.0,69.1,1354.05,94.7,61.1,1.013,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,0.7867601772197167,,,2.2725470531986844,1.8471441565408027,50.0,31.5,42.9,31.5,3.08,0.54,,,,,COOL,COOL,COOL,Red,Red,Red,57,49,44,POINTS,57,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Philip Broberg,STL,D,Healthy,Unknown,,,4,1.0,🟢 ROLE+,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,52.3,72.1,1395.75,98.0,68.4,1.022,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,0.0,0.5,0.8,0.27999999999999997,3.4,2.0,0.0,6.0,0.0,1.0,0.9779571561626824,,,2.2725470531986844,1.8471441565408027,50.0,31.5,48.8,31.5,3.68,0.89,2.8,1.68,0.89,-3.2,WARM,COOL,COOL,Yellow,Red,Red,57,42,42,POINTS,57,,,,,False
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Brandon Duhaime,WSH,R,Healthy,Unknown,,,1,0.0,,CHI,Spencer Knight,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_and_stats,55.8,26.5,689.07,21.9,38.8,0.987,NONE,False,False,27.83640653943414,2.6350506906066733,92.1,74.8,,,,,50.0,,,,,,0.6801435858681277,,,2.7224882251400095,2.530716177056402,50.0,72.6,40.6,72.6,1.41,0.96,,,,,COOL,COOL,COOL,Red,Red,Red,32,57,51,SOG,57,,,,,False
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Nic Dowd,WSH,C,Healthy,Unknown,,,1,0.0,,CHI,Spencer Knight,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_and_stats,49.6,57.7,927.86,52.3,53.0,1.004,NONE,False,False,27.83640653943414,2.6350506906066733,92.1,74.8,,,,,50.0,,,,,,0.9319526627218935,,,2.7224882251400095,2.530716177056402,50.0,72.6,47.2,72.6,3.22,0.99,,,,,COOL,COOL,COOL,Red,Red,Red,52,57,49,SOG,57,,,,,False
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Jimmy Snuggerud,STL,R,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Likely,dailyfaceoff_name_and_stats,70.5,52.6,926.38,51.7,60.4,1.013,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,1.0,1.25,2.2,1.42,33.9,2.0,1.0,14.0,1.0,1.0,1.290579565823541,,,2.2725470531986844,1.8471441565408027,50.0,31.5,57.5,31.5,4.4,2.19,14.2,2.4,1.19,0.2,HOT,WARM,COOL,Red,Red,Red,46,56,54,SOG,56,,,,,False
