Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Nick DeSimone,UTA,D,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,24.0,19.2,A1+A2,872.11,46.1,26.7,0.972,NONE,False,False,27.399304988688574,2.663246029339739,75.3,91.8,,,,,50.0,,,,,,,0.6681927859926994,0.0,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,40.5,57.1,1.07,0.56,,,,,COOL,COOL,COOL,0.51,,COOL,Red,Red,Red,Red,30,43,35,40,SOG,43,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Dmitri Simashev,UTA,D,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,22.5,19.2,A1+A2,928.38,52.6,27.4,0.973,NONE,False,False,27.399304988688574,2.663246029339739,75.3,91.8,,,,,50.0,,,,,,,0.16787129867101888,0.16787129867101888,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,35.5,57.1,0.78,0.38,,,,,COOL,COOL,COOL,0.41,,COOL,Red,Red,Red,Red,30,43,34,40,SOG,43,,,,,False,False,1,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Andre Lee,LAK,L,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.8841870824053452,3.332799230892485,81.1,Confirmed,dailyfaceoff_name_and_stats,12.5,7.4,A1+A2,611.5,13.2,10.8,0.953,NONE,False,False,26.544824326453444,2.375705057507484,59.5,59.5,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.643439408703092,3.023029208356109,50.0,77.1,27.8,77.1,1.76,1.76,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,24,42,32,29,SOG,42,,,,,False,False,0,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Otto Stenberg,STL,C,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,33.5,41.6,A1+A2,819.7,34.9,36.6,0.984,NONE,False,False,23.98259766156077,2.2688298740143207,9.5,43.1,,,,,50.0,,,,,,,0.04855678446182897,0.016185594820609658,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.4,34.2,31.4,6.75,1.83,,,,,COOL,COOL,COOL,4.92,,COOL,Red,Red,Red,Red,37,41,37,42,ASSISTS,42,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Cole Koepke,WPG,L,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9052924791086351,2.5019930091371805,28.7,Confirmed,dailyfaceoff_name_and_stats,45.8,41.6,A1+A2,620.82,13.8,37.9,0.986,NONE,False,False,24.469425101599448,2.2296266368800057,43.8,8.9,,,,,50.0,,,,,,,2.0419739081111743,0.7657402155416903,,,0.0,2.2100835040176463,1.7299511580274145,50.0,17.2,70.1,17.2,2.83,1.07,,,,,COOL,COOL,COOL,1.76,,COOL,Red,Red,Red,Red,37,41,40,40,SOG,41,,,,,False,False,2,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Maveric Lamoureux,UTA,D,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,7.2,19.2,A1+A2,879.2,46.7,19.3,0.963,NONE,False,False,27.399304988688574,2.663246029339739,75.3,91.8,,,,,50.0,,,,,,,0.01366120218579235,0.01366120218579235,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,32.2,57.1,2.2,0.27,,,,,COOL,COOL,COOL,1.93,,COOL,Red,Red,Red,Red,29,34,24,39,ASSISTS,39,,,,,False,False,1,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Jacob Moverare,LAK,D,Healthy,Unknown,,,1,0.0,,WPG,Eric Comrie,0.8841870824053452,3.332799230892485,81.1,Confirmed,dailyfaceoff_name_and_stats,4.7,7.4,A1+A2,543.0,5.9,5.9,0.947,NONE,False,False,26.544824326453444,2.375705057507484,59.5,59.5,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.643439408703092,3.023029208356109,50.0,77.1,27.8,77.1,0.07,0.07,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,23,38,27,29,SOG,38,,,,,False,False,0,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Olli Mtt,UTA,D,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,12.2,19.2,A1+A2,714.63,21.7,16.6,0.96,NONE,False,False,27.399304988688574,2.663246029339739,75.3,91.8,,,,,50.0,,,,,,,0.26825633383010433,0.0,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,35.9,57.1,0.69,0.18,,,,,COOL,COOL,COOL,0.51,,COOL,Red,Red,Red,Red,28,35,26,38,ASSISTS,38,,,,,False,False,1,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Ivan Miroshnichenko,WSH,L,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Confirmed,dailyfaceoff_name_and_stats,11.4,7.4,A1+A2,578.5,9.9,9.7,0.952,NONE,False,False,27.749159629108792,2.6308910563480903,92.1,75.0,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.7166179020786703,2.5301563777205676,50.0,72.7,27.8,72.7,1.57,1.57,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,21,37,27,30,SOG,37,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Alexander Kerfoot,UTA,C,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,16.7,7.4,A1+A2,680.25,19.1,13.9,0.957,NONE,False,False,27.399304988688574,2.663246029339739,75.3,91.8,,,,,50.0,,,,,,,0.013094718463553033,0.0,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.1,31.6,57.1,0.68,0.68,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,21,37,29,31,SOG,37,,,,,False,False,1,
