Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Goal,Goal_ProofCount,Goal_Why,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-17,CBJ@PIT,6:00 PM,2026-01-18T00:00:00Z,Bokondji Imama,PIT,L,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8824701195219123,3.836012281018602,96.6,Likely,dailyfaceoff_name_and_stats,9.4,7.2,A1+A2,458.5,82.3,23.2,0.94,NONE,False,False,26.87714978818929,2.556587856185959,59.5,75.4,12,2.4,False,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.6028828017229246,2.609723825342755,50.0,76.6,28.1,76.6,1.22,1.22,,,,,COOL,COOL,COOL,0.0,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,1,,False,1,,False,0,
2026-01-17,LAK@ANA,9:00 PM,2026-01-18T03:00:00Z,Taylor Ward,LAK,R,,Healthy,Unknown,,,0,0.0,,ANA,Ville Husso,0.8837209302325582,3.330557868442964,81.7,Unconfirmed,dailyfaceoff_name_and_stats,19.0,25.9,A1+A2,697.83,92.5,36.1,0.94,NONE,False,False,26.33043627178148,2.3643447360534315,47.4,40.6,10,2.0,False,,,,,50.0,,,,,,,0.03054212267752609,0.015271061338763044,,,0.0,2.557235609394745,2.1438842651095906,50.0,53.4,34.8,53.4,4.28,1.13,,,,,COOL,COOL,COOL,3.15,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,1,,False,0,,False,0,
2026-01-17,NYR@PHI,12:00 PM,2026-01-17T18:00:00Z,Nikita Grebenkin,PHI,R,,Healthy,Unknown,,,3,0.0,,NYR,Spencer Martin,0.8076923076923077,0.09019843656043296,50.0,Confirmed,dailyfaceoff_name_and_stats,36.0,49.5,A1+A2,11.12,7.7,35.1,0.94,NONE,False,False,23.67713788356628,2.222976467075027,9.6,9.6,9,1.8,False,,,,,50.0,,,,,,,1.4835844132057328,0.659370850313659,,,0.0,2.3557382787565975,2.1743755876922655,50.0,35.0,61.1,35.0,2.55,0.61,,,,,COOL,COOL,COOL,1.94,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,0,,False,1,,False,0,
2026-01-17,NYR@PHI,12:00 PM,2026-01-17T18:00:00Z,Emil Andrae,PHI,D,,Healthy,Unknown,,,3,0.0,,NYR,Spencer Martin,0.8076923076923077,0.09019843656043296,50.0,Confirmed,dailyfaceoff_name_and_stats,31.0,59.4,A1+A2,17.34,47.3,44.2,0.98,NONE,False,False,23.67713788356628,2.222976467075027,9.6,9.6,9,1.8,False,,,,,50.0,,,,,,,0.9520451339915373,0.6346967559943583,,,0.0,2.3557382787565975,2.1743755876922655,50.0,35.0,48.7,35.0,3.01,0.49,,,,,COOL,COOL,COOL,2.51,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,0,,False,1,,False,0,
2026-01-17,NYR@PHI,12:00 PM,2026-01-17T18:00:00Z,Brennan Othmann,NYR,L,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,PHI,Aleksei Kolosov,0.8863636363636364,0.044802867383512544,50.0,Confirmed,dailyfaceoff_name_and_stats,23.1,7.2,A1+A2,548.5,86.5,30.2,0.94,NONE,False,False,23.621625702656885,2.221075245200656,5.7,5.7,12,2.4,False,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2533922809675375,2.150083395849873,50.0,28.9,28.1,28.9,1.22,1.22,,,,,COOL,COOL,COOL,0.0,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,EDM@VAN,9:00 PM,2026-01-18T03:00:00Z,Tom Willander,VAN,D,,Healthy,Unknown,,,4,0.0,,EDM,Tristan Jarry,0.902834008097166,2.7947146253497435,40.3,Confirmed,dailyfaceoff_name_and_stats,27.4,63.0,A1+A2,14.87,30.0,40.4,0.96,NONE,False,False,24.222652665919053,2.322910446674337,13.8,28.6,6,1.2,False,,,,,50.0,,,,,,,1.021385253750399,0.2553463134375997,,,0.0,2.483923787861141,2.4170840155932063,50.0,55.4,50.5,55.4,3.05,0.38,,,,,COOL,COOL,COOL,2.67,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,LAK@ANA,9:00 PM,2026-01-18T03:00:00Z,Ian Moore,ANA,D,,Healthy,Unknown,,,3,0.0,,LAK,Anton Forsberg,0.9006928406466512,2.649278636340299,39.2,Unconfirmed,dailyfaceoff_name_and_stats,40.3,39.9,A1+A2,14.64,28.7,37.9,0.95,NONE,False,False,28.628698418231732,2.708876203756155,86.4,86.8,13,2.6,False,,,,,50.0,,,,,,,0.9531734624404267,0.40850291247446857,,,0.0,2.146765423641735,1.6183585220704715,50.0,14.7,48.7,14.7,2.27,0.78,,,,,COOL,COOL,COOL,1.49,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,0,,False,1,,False,1,
2026-01-17,MIN@BUF,11:30 AM,2026-01-17T17:30:00Z,Daemon Hunt,MIN,D,,Healthy,Unknown,,,4,0.0,,BUF,Ukko-Pekka Luukkonen,0.9044444444444445,2.5926174047028874,32.4,Confirmed,dailyfaceoff_name_and_stats,8.5,30.9,A1+A2,12.37,14.8,17.6,0.94,NONE,False,False,26.17720784736177,2.4195894015040085,40.5,52.1,15,3.0,True,,,,,50.0,,,,,,,0.6563354603463992,0.3281677301731996,,,0.0,2.4504927472040747,2.1260104085926255,50.0,38.3,41.6,38.3,1.89,0.12,,,,,COOL,COOL,COOL,1.76,,COOL,Red,Red,Red,Red,32,18,29,24,POINTS,32,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,MIN@BUF,11:30 AM,2026-01-17T17:30:00Z,Carson Lambos,MIN,D,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,BUF,Ukko-Pekka Luukkonen,0.9044444444444445,2.5926174047028874,32.4,Confirmed,dailyfaceoff_name_and_stats,3.9,7.2,A1+A2,616.0,89.6,22.2,0.94,NONE,False,False,26.17720784736177,2.4195894015040085,40.5,52.1,15,3.0,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.4504927472040747,2.1260104085926255,50.0,38.3,28.1,38.3,0.56,0.56,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,28,23,32,21,GOAL,32,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,NYI@CGY,2:00 PM,2026-01-17T20:00:00Z,Brayden Pachal,CGY,D,,Healthy,Unknown,,,5,0.0,,NYI,David Rittich,0.9099804305283757,2.3946207794085748,19.3,Confirmed,dailyfaceoff_name_and_stats,20.0,30.9,A1+A2,13.28,18.8,23.6,0.94,NONE,False,False,28.753824429277476,2.4859084490468346,94.2,59.9,10,2.0,False,,,,,50.0,,,,,,,0.5963226768262382,0.3975484512174921,,,0.0,2.7038610010957767,2.9134766198514614,50.0,83.6,40.6,83.6,1.49,0.31,,,,,COOL,COOL,COOL,1.17,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,32,0,0,SOG,32,,,,,,,,,,False,False,0,,False,0,,False,1,
2026-01-17,SEA@UTA,4:00 PM,2026-01-17T22:00:00Z,Kevin Rooney,UTA,C,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,SEA,Philipp Grubauer,0.922077922077922,2.2871664548919948,2.5,Unconfirmed,dailyfaceoff_name_and_stats,6.2,7.2,A1+A2,584.0,88.3,23.0,0.94,NONE,False,False,27.67200700340918,2.710831797185825,82.9,90.4,17,3.4,True,,,,,50.0,,,,,,,0.10273972602739725,0.0,,,0.0,2.4833423580039327,2.5136082532987545,50.0,56.2,35.9,56.2,1.22,1.22,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,28,27,32,22,GOAL,32,,,,,,,,,,False,False,0,,False,1,,False,1,
2026-01-17,CAR@NJD,6:00 PM,2026-01-18T00:00:00Z,Jonas Siegenthaler,NJD,D,,Healthy,Unknown,,,2,0.0,,CAR,Frederik Andersen,0.8626609442060086,3.372562796416652,88.0,Unconfirmed,dailyfaceoff_name_and_stats,30.4,39.9,A1+A2,19.78,63.4,40.3,0.96,NONE,False,False,27.497401628080553,2.3748212529384274,75.2,44.4,12,2.4,False,,,,,50.0,,,,,,,0.21609075811840972,0.0,,,0.0,2.208130240494556,1.9888529129981747,50.0,21.9,36.3,21.9,1.37,0.35,,,,,COOL,COOL,COOL,1.02,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,31,0,0,SOG,31,,,,,,,,,,False,False,1,,False,0,,False,1,
2026-01-17,CAR@NJD,6:00 PM,2026-01-18T00:00:00Z,Luke Glendening,NJD,C,,Healthy,Unknown,,,2,0.0,,CAR,Frederik Andersen,0.8626609442060086,3.372562796416652,88.0,Unconfirmed,dailyfaceoff_name_and_stats,38.8,35.5,A1+A2,10.18,3.9,30.7,0.94,NONE,False,False,27.497401628080553,2.3748212529384274,75.2,44.4,12,2.4,False,,,,,50.0,,,,,,,0.4520152345875361,0.4520152345875361,,,0.0,2.208130240494556,1.9888529129981747,50.0,21.9,38.3,21.9,1.29,0.49,,,,,COOL,COOL,COOL,0.8,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,31,0,0,SOG,31,,,,,,,,,,False,False,1,,False,1,,False,1,
2026-01-17,NYR@PHI,12:00 PM,2026-01-17T18:00:00Z,Juuso Parssinen,NYR,C,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,PHI,Aleksei Kolosov,0.8863636363636364,0.044802867383512544,50.0,Confirmed,dailyfaceoff_name_and_stats,21.5,18.8,A1+A2,535.79,85.4,33.3,0.94,NONE,False,False,23.621625702656885,2.221075245200656,5.7,5.7,12,2.4,False,,,,,50.0,,,,,,,0.02418054809242343,0.0,,,0.0,2.2533922809675375,2.150083395849873,50.0,28.9,33.9,28.9,1.28,0.61,,,,,COOL,COOL,COOL,0.67,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,31,0,0,SOG,31,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,NSH@VGK,9:00 PM,2026-01-18T03:00:00Z,Joakim Kemell,NSH,R,,Healthy,Unknown,,,4,1.0,🟢 ROLE+,VGK,Akira Schmid,0.8956043956043956,2.46759181317492,41.1,Likely,dailyfaceoff_name_and_stats,3.4,7.2,A1+A2,664.0,91.5,22.3,0.94,NONE,False,False,26.240751820450335,2.4877493542691202,44.1,63.7,16,3.2,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.1155040829807867,2.049220649622623,50.0,20.0,28.1,20.0,0.19,0.19,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,27,20,31,19,GOAL,31,,,,,,,,,,False,False,0,,False,1,,False,0,
2026-01-17,SEA@UTA,4:00 PM,2026-01-17T22:00:00Z,Adam Larsson,SEA,D,,Healthy,Unknown,,,1,0.0,,UTA,Karel Vejmelka,0.9015486725663717,2.5338679446724717,34.8,Unconfirmed,dailyfaceoff_name_and_stats,28.4,49.5,A1+A2,21.94,72.9,44.7,0.98,NONE,False,False,23.084157428253867,2.055515973666961,1.9,1.9,12,2.4,False,,,,,50.0,,,,,,,0.7641247298548934,0.2778635381290522,,,0.0,2.3188116979708617,1.9472893817213868,50.0,24.1,43.9,24.1,1.82,0.33,,,,,COOL,COOL,COOL,1.49,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,31,0,0,SOG,31,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,SEA@UTA,4:00 PM,2026-01-17T22:00:00Z,Jamie Oleksiak,SEA,D,,Healthy,Unknown,,,1,0.0,,UTA,Karel Vejmelka,0.9015486725663717,2.5338679446724717,34.8,Unconfirmed,dailyfaceoff_name_and_stats,33.1,39.9,A1+A2,16.75,43.1,37.5,0.95,NONE,False,False,23.084157428253867,2.055515973666961,1.9,1.9,12,2.4,False,,,,,50.0,,,,,,,0.739846379119891,0.18496159477997276,,,0.0,2.3188116979708617,1.9472893817213868,50.0,24.1,43.1,24.1,1.5,0.42,,,,,COOL,COOL,COOL,1.08,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,31,0,0,SOG,31,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,MIN@BUF,11:30 AM,2026-01-17T17:30:00Z,David Jiricek,MIN,D,,Healthy,Unknown,,,4,0.0,,BUF,Ukko-Pekka Luukkonen,0.9044444444444445,2.5926174047028874,32.4,Confirmed,dailyfaceoff_name_and_stats,11.5,7.2,A1+A2,12.13,12.2,10.1,0.94,NONE,False,False,26.17720784736177,2.4195894015040085,40.5,52.1,15,3.0,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.4504927472040747,2.1260104085926255,50.0,38.3,28.1,38.3,0.18,0.18,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,18,19,31,12,GOAL,31,,,,,,,,,,False,False,0,,False,0,,False,0,
2026-01-17,MIN@BUF,11:30 AM,2026-01-17T17:30:00Z,Zach Metsa,BUF,D,,Healthy,Unknown,,,6,0.0,,MIN,Filip Gustavsson,0.9110275689223057,2.4985581481734913,20.7,Confirmed,dailyfaceoff_name_and_stats,16.5,18.8,A1+A2,10.08,3.6,14.7,0.94,NONE,False,False,26.867456538589302,2.5286236297198537,55.1,67.4,22,4.4,True,,,,,50.0,,,,,,,0.702301989855638,0.0,,,0.0,2.4180978227092873,1.9390524331379089,50.0,27.9,42.5,27.9,0.87,0.32,,,,,COOL,COOL,COOL,0.55,,COOL,Red,Red,Red,Red,23,20,31,17,GOAL,31,,,,,,,,,,False,False,0,,False,1,,False,0,
2026-01-17,CBJ@PIT,6:00 PM,2026-01-18T00:00:00Z,Tristan Broz,PIT,C,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,CBJ,Elvis Merzlikins,0.8824701195219123,3.836012281018602,96.6,Likely,dailyfaceoff_name_and_stats,4.6,7.2,A1+A2,690.0,92.0,23.0,0.94,NONE,False,False,26.87714978818929,2.556587856185959,59.5,75.4,12,2.4,False,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.6028828017229246,2.609723825342755,50.0,76.6,28.1,76.6,0.75,0.75,,,,,COOL,COOL,COOL,0.0,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,30,0,0,SOG,30,,,,,,,,,,False,False,1,,False,1,,False,0,
