Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why,Plays_SOG,SOG_ProofCount,SOG_Why
2026-01-13,EDM@NSH,7:00 PM,2026-01-14T01:00:00Z,Connor McDavid,EDM,C,👑 ELITE,Healthy,Unknown,,,3,1.0,🟢 ROLE+,NSH,Juuse Saros,0.8969072164948454,2.9370492445256664,52.5,Unconfirmed,dailyfaceoff_name_and_stats,100.0,100.0,A1+A2,1368.02,95.9,99.2,1.089,ELITE,True,False,27.060686620853726,2.5680565806539453,68.3,68.1,19,3.8,True,5.5,5.625,5.6,5.535,100.0,21.0,8.0,56.0,6.0,4.0,13.0,2.5662529352566255,0.7547802750754781,,,0.0,2.4664075258182487,2.4840720380891046,50.0,55.0,73.5,55.0,18.1,6.26,55.35,-2.9,-1.74,-0.65,COOL,COOL,COOL,11.84,-1.16,COOL,Green,Green,Green,Green,75,100,94,79,SOG,100,0.0,0.0,1.0,1.0,,,,🎯 D:1,🅰️ ASSISTS EARNED | 🎯 SOG EARNED,False,True,4,"iXA,v2,xGF,VOL",True,3,"SI,REG,VOL"
2026-01-13,TBL@PIT,6:00 PM,2026-01-14T00:00:00Z,Nikita Kucherov,TBL,R,👑 ELITE,Healthy,Unknown,,,5,1.0,🟢 ROLE+,PIT,Arturs Silovs,0.8859813084112149,3.179337203746869,74.3,Unconfirmed,dailyfaceoff_name_and_stats,98.7,99.6,A1+A2,1203.08,85.2,96.3,1.083,ELITE,True,False,25.54163000309163,2.7034174415562795,38.1,88.1,28,5.6,True,2.0,2.25,2.4,2.14,68.3,25.0,10.0,24.0,5.0,11.0,15.0,3.7026455631106794,1.2342151877035599,,,0.0,2.5111347726603386,2.4738904873020546,50.0,58.3,75.0,58.3,17.4,5.49,21.4,-7.6,-4.51,-2.6,COOL,COOL,COOL,11.91,-3.09,COOL,Green,Red,Red,Green,76,91,96,81,GOAL,96,0.0,0.0,0.0,0.0,,,,🥅 D:0,🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL",False,1,
2026-01-13,DET@BOS,6:30 PM,2026-01-14T00:30:00Z,David Pastrnak,BOS,R,👑 ELITE,Healthy,Unknown,,,5,1.0,🟢 ROLE+,DET,Cam Talbot,0.8878504672897196,2.9940534771218275,66.5,Unconfirmed,dailyfaceoff_name_and_stats,97.2,98.8,A1+A2,1201.39,85.0,95.3,1.082,ELITE,True,False,26.247759365285855,2.3533131140473613,43.5,37.9,22,4.4,True,3.5,3.375,3.8,3.6049999999999995,97.0,17.0,6.0,35.0,2.0,9.0,11.0,2.709167629747091,1.5480957884269089,,,0.0,2.503661080342372,2.3563259728116233,50.0,48.9,74.3,48.9,14.08,4.58,36.05,-2.92,-1.42,1.05,COOL,COOL,COOL,9.5,-1.5,COOL,Green,Green,Green,Green,76,96,89,75,SOG,96,1.0,1.0,3.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL",False,2,
2026-01-13,DAL@ANA,9:00 PM,2026-01-14T03:00:00Z,Wyatt Johnston,DAL,C,⭐ STAR,Healthy,Unknown,,,2,1.0,🟢 ROLE+,ANA,Lukas Dostal,0.8867438867438867,3.246766556664685,75.2,Unconfirmed,dailyfaceoff_name_and_stats,98.2,95.6,A1+A2,1207.09,85.8,94.8,1.081,STAR,False,True,23.056968240242703,2.317040641350706,2.2,27.9,17,3.4,True,2.5,2.25,3.0,2.675,85.9,10.0,6.0,24.0,5.0,0.0,4.0,1.9667925603933585,0.7696144801539229,,,0.0,2.5820810434861925,2.1891318723918545,50.0,53.8,68.6,53.8,10.64,4.53,26.75,0.64,-1.47,2.75,COOL,COOL,HOT,6.11,2.11,WARM,Green,Red,Red,Green,75,95,95,85,SOG,95,0.0,5.0,0.0,1.0,,,,🎯 D:1,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL",False,2,
2026-01-13,EDM@NSH,7:00 PM,2026-01-14T01:00:00Z,Zach Hyman,EDM,L,⭐ STAR,Healthy,Unknown,,,3,1.0,🟢 ROLE+,NSH,Juuse Saros,0.8969072164948454,2.9370492445256664,52.5,Unconfirmed,dailyfaceoff_name_and_stats,95.3,68.1,A1+A2,1204.04,85.6,83.8,1.061,STAR,False,True,27.060686620853726,2.5680565806539453,68.3,68.1,19,3.8,True,4.0,3.75,3.2,3.7199999999999998,98.1,11.0,6.0,38.0,2.0,1.0,5.0,1.8588394169281488,0.42896294236803434,,,0.0,2.4664075258182487,2.4840720380891046,50.0,55.0,67.2,55.0,10.58,6.26,37.2,-0.42,0.26,-0.8,COOL,COOL,COOL,4.32,-0.68,COOL,Red,Green,Green,Red,57,95,80,62,SOG,95,0.0,0.0,0.0,0.0,,,,🎯 D:0,,False,False,2,,False,2,
2026-01-13,EDM@NSH,7:00 PM,2026-01-14T01:00:00Z,Leon Draisaitl,EDM,C,👑 ELITE,Healthy,Unknown,,,3,1.0,🟢 ROLE+,NSH,Juuse Saros,0.8969072164948454,2.9370492445256664,52.5,Unconfirmed,dailyfaceoff_name_and_stats,95.0,99.4,A1+A2,1319.41,93.6,96.3,1.083,ELITE,True,False,27.060686620853726,2.5680565806539453,68.3,68.1,19,3.8,True,2.5,3.0,3.0,2.675,85.9,14.0,7.0,33.0,4.0,3.0,7.0,2.4100548525029155,1.1661555737917333,,,0.0,2.4664075258182487,2.4840720380891046,50.0,55.0,72.3,55.0,13.16,3.74,26.75,-0.84,-3.26,-6.25,COOL,COOL,COOL,9.42,2.42,WARM,Green,Red,Red,Green,74,94,87,91,SOG,94,0.0,2.0,0.0,1.0,,,,🎯 D:1,🅰️ ASSISTS EARNED,False,True,4,"iXA,v2,xGF,VOL",False,1,
2026-01-13,CAR@STL,6:30 PM,2026-01-14T00:30:00Z,Seth Jarvis,CAR,C,⭐ STAR,Healthy,Unknown,,,2,1.0,🟢 ROLE+,STL,Joel Hofer,0.8970588235294118,2.936340449772783,52.3,Unconfirmed,dailyfaceoff_name_and_stats,96.4,71.2,A1+A2,1139.53,78.8,84.1,1.061,STAR,False,True,30.225225553233475,2.9674722746106066,97.7,97.7,20,4.0,True,3.5,3.625,3.8,3.6049999999999995,97.0,9.0,5.0,36.0,2.0,4.0,4.0,2.2751463544438533,0.35923363491218735,,,0.0,2.4367743053549766,2.5735081739934147,50.0,56.1,71.1,56.1,8.06,4.7,36.05,-0.94,-0.3,0.05,COOL,COOL,COOL,3.35,-0.65,COOL,Yellow,Green,Green,Yellow,58,94,80,67,SOG,94,0.0,1.0,0.0,0.0,,,,🎯 D:0,,False,False,2,,False,2,
2026-01-13,DET@BOS,6:30 PM,2026-01-14T00:30:00Z,Alex DeBrincat,DET,R,⭐ STAR,Healthy,Unknown,,,0,0.0,,BOS,Jeremy Swayman,0.9017857142857143,2.882725485913955,44.2,Unconfirmed,dailyfaceoff_name_and_stats,99.5,94.4,A1+A2,1074.36,72.5,92.3,1.076,STAR,False,True,26.437459541106236,2.4083722937495504,52.6,42.7,19,3.8,True,3.0,2.625,2.8,2.93,93.1,9.0,4.0,25.0,3.0,5.0,5.0,2.4383889959881206,0.5627051529203355,,,0.0,2.679504148483175,2.4777449193371504,50.0,75.7,72.7,75.7,10.65,4.93,29.3,1.65,0.93,4.3,WARM,COOL,HOT,5.72,0.72,COOL,Green,Yellow,Yellow,Green,75,94,85,75,SOG,94,0.0,0.0,0.0,0.0,,,,🎯 D:0,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL",False,1,
2026-01-13,VAN@OTT,6:00 PM,2026-01-14T00:00:00Z,Brady Tkachuk,OTT,L,,Healthy,Unknown,,,1,0.0,,VAN,Kevin Lankinen,0.8825448613376835,3.3955590489290626,85.1,Unconfirmed,dailyfaceoff_name_and_stats,87.8,74.3,A1+A2,1061.58,71.0,79.7,1.053,NONE,False,False,26.703491812980864,2.458425724995068,57.2,47.3,12,2.4,False,3.0,3.125,3.4,3.14,94.4,6.0,2.0,34.0,2.0,1.0,4.0,2.346423333876487,0.5866058334691218,,,0.0,2.692449918249469,2.4479317879681557,50.0,74.2,71.7,74.2,10.97,5.26,31.4,4.97,3.26,-2.6,HOT,HOT,COOL,5.7,1.7,WARM,FAIL_GF,Yellow,FAIL_GF,FAIL_GF,0,93,0,0,SOG,93,1.0,4.0,1.0,0.0,,,,🎯 D:0,,False,False,2,,False,1,
2026-01-13,VAN@OTT,6:00 PM,2026-01-14T00:00:00Z,Tim Sttzle,OTT,C,⭐ STAR,Healthy,Unknown,,,1,0.0,,VAN,Kevin Lankinen,0.8825448613376835,3.3955590489290626,85.1,Unconfirmed,dailyfaceoff_name_and_stats,94.7,95.6,A1+A2,1250.32,89.9,94.0,1.079,STAR,False,True,26.703491812980864,2.458425724995068,57.2,47.3,12,2.4,False,2.0,2.0,1.4,1.79,48.4,8.0,3.0,21.0,0.0,3.0,5.0,2.3247679268128616,0.8717879725548231,,,0.0,2.692449918249469,2.4479317879681557,50.0,74.2,71.5,74.2,10.22,3.84,17.9,2.22,0.84,-3.1,WARM,COOL,COOL,6.38,1.38,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,93,0,0,SOG,93,3.0,3.0,7.0,4.0,,,,🅿️ PTS D:3 | 🎯 D:4,,False,False,3,,False,2,
