Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,i5v5_points60,i5v5_shotAssists60,i5v5_iCF60,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Matrix_Points,Matrix_SOG,Matrix_Goal,Conf_Points,Conf_SOG,Conf_Goal,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Hayden Hodgson,OTT,R,UTA,Karel Vejmelka,0.8944723618090452,2.6988674395566146,49.1,,moneypuck_team_proxy,15.4,7.2,381.67,1.6,9.8,0.952,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.280069560798202,1.8581309108811828,50.0,31.0,27.3,31.0,0.54,0.54,,,,,COOL,COOL,COOL,Red,Red,Red,16,30,25,SOG,30,,,,,False
2026-01-07,CGY@MTL,6:30 PM,2026-01-08T00:30:00Z,Daniil Miromanov,CGY,D,MTL,Jacob Fowler,0.9032258064516129,2.568269192659823,33.4,Confirmed,dailyfaceoff_name_and_stats,1.7,7.2,1069.0,70.9,17.5,0.961,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.4095633759557717,2.1532144646869593,50.0,48.0,27.3,48.0,0.1,0.1,,,,,COOL,COOL,COOL,Red,Red,Red,23,30,20,SOG,30,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Maveric Lamoureux,UTA,D,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,,moneypuck_team_proxy,6.4,18.9,879.2,42.5,18.0,0.962,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.01366120218579235,,,2.0311549575810677,1.5467956224672907,50.0,14.3,31.1,14.3,2.19,0.27,,,,,COOL,COOL,COOL,Red,Red,Red,26,29,23,SOG,29,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Olli Mtt,UTA,D,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,,moneypuck_team_proxy,11.8,18.9,714.63,20.9,16.1,0.959,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.26825633383010433,,,2.0311549575810677,1.5467956224672907,50.0,14.3,35.8,14.3,0.69,0.18,,,,,COOL,COOL,COOL,Red,Red,Red,25,29,25,SOG,29,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Xavier Bourgault,OTT,R,UTA,Karel Vejmelka,0.8944723618090452,2.6988674395566146,49.1,,moneypuck_team_proxy,12.7,7.2,403.0,2.0,8.6,0.95,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.280069560798202,1.8581309108811828,50.0,31.0,27.3,31.0,3.8,3.8,,,,,COOL,COOL,COOL,Red,Red,Red,16,29,23,SOG,29,,,,,False
2026-01-07,SJS@LAK,9:30 PM,2026-01-08T03:30:00Z,Ethan Cardwell,SJS,R,LAK,Darcy Kuemper,0.9124629080118695,2.317335282629805,13.7,Confirmed,dailyfaceoff_name_and_stats,21.3,7.2,715.86,21.3,16.4,0.96,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.012547051442910916,,,2.20699474359505,1.758205372294193,50.0,22.6,30.7,22.6,1.23,1.23,,,,,COOL,COOL,COOL,Red,Red,Red,15,29,24,SOG,29,,,,,False
2026-01-07,SJS@LAK,9:30 PM,2026-01-08T03:30:00Z,Vincent Desharnais,SJS,D,LAK,Darcy Kuemper,0.9124629080118695,2.317335282629805,13.7,Confirmed,dailyfaceoff_name_and_stats,10.0,26.1,993.4,61.0,25.9,0.971,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.4682013265704253,,,2.20699474359505,1.758205372294193,50.0,22.6,37.0,22.6,1.12,0.15,,,,,COOL,COOL,COOL,Red,Red,Red,29,26,19,POINTS,29,,,,,False
2026-01-07,DAL@WSH,6:00 PM,2026-01-08T00:00:00Z,Ivan Miroshnichenko,WSH,L,DAL,Casey DeSmith,0.9130434782608695,2.414700015886184,15.6,Confirmed,dailyfaceoff_name_and_stats,10.9,7.2,578.5,10.2,9.5,0.951,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.3884405961987225,2.2628522938879416,50.0,42.7,27.3,42.7,1.57,1.57,,,,,COOL,COOL,COOL,Red,Red,Red,16,27,20,SOG,27,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Kevin Rooney,UTA,C,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,,moneypuck_team_proxy,5.9,7.2,584.0,11.0,7.4,0.949,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.10273972602739725,,,2.0311549575810677,1.5467956224672907,50.0,14.3,35.0,14.3,1.23,1.23,,,,,COOL,COOL,COOL,Red,Red,Red,18,26,21,SOG,26,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Dennis Gilbert,OTT,D,UTA,Karel Vejmelka,0.8944723618090452,2.6988674395566146,49.1,,moneypuck_team_proxy,0.7,7.2,830.0,35.4,9.9,0.952,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.280069560798202,1.8581309108811828,50.0,31.0,27.3,31.0,0.0,0.0,,,,,COOL,COOL,COOL,Red,Red,Red,19,25,18,SOG,25,,,,,False
2026-01-07,DAL@WSH,6:00 PM,2026-01-08T00:00:00Z,Dylan McIlrath,WSH,D,DAL,Casey DeSmith,0.9130434782608695,2.414700015886184,15.6,Confirmed,dailyfaceoff_name_and_stats,7.6,7.2,617.67,14.2,8.8,0.951,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.3884405961987225,2.2628522938879416,50.0,42.7,27.3,42.7,0.3,0.3,,,,,COOL,COOL,COOL,Red,Red,Red,17,25,18,SOG,25,,,,,False
2026-01-07,DAL@WSH,6:00 PM,2026-01-08T00:00:00Z,Bogdan Trineyev,WSH,R,DAL,Casey DeSmith,0.9130434782608695,2.414700015886184,15.6,Confirmed,dailyfaceoff_name_and_stats,6.4,7.2,631.5,15.4,8.5,0.95,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.3884405961987225,2.2628522938879416,50.0,42.7,27.3,42.7,0.66,0.66,,,,,COOL,COOL,COOL,Red,Red,Red,17,25,17,SOG,25,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Kurtis MacDermid,OTT,L,UTA,Karel Vejmelka,0.8944723618090452,2.6988674395566146,49.1,,moneypuck_team_proxy,3.4,18.9,241.06,0.4,8.2,0.95,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.015710919088766692,,,2.280069560798202,1.8581309108811828,50.0,31.0,31.3,31.0,0.62,0.03,,,,,COOL,COOL,COOL,Red,Red,Red,23,24,18,SOG,24,,,,,False
2026-01-07,OTT@UTA,8:30 PM,2026-01-08T02:30:00Z,Andrew Agozzino,UTA,L,OTT,Linus Ullmark,0.8806404657933042,2.95344718912267,75.3,,moneypuck_team_proxy,1.7,7.2,368.0,0.8,3.5,0.944,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.0,,,2.0311549575810677,1.5467956224672907,50.0,14.3,27.3,14.3,0.05,0.05,,,,,COOL,COOL,COOL,Red,Red,Red,16,23,18,SOG,23,,,,,False
2026-01-07,SJS@LAK,9:30 PM,2026-01-08T03:30:00Z,Patrick Giles,SJS,R,LAK,Darcy Kuemper,0.9124629080118695,2.317335282629805,13.7,Confirmed,dailyfaceoff_name_and_stats,2.4,18.9,532.0,5.1,8.7,0.95,50.0,50.0,50.2,50.2,,,,,50.0,,,,,,0.03934426229508197,,,2.20699474359505,1.758205372294193,50.0,22.6,33.7,22.6,3.23,0.06,,,,,COOL,COOL,COOL,Red,Red,Red,21,18,12,POINTS,21,,,,,False
