Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Team_GF_L5,Team_GF_Avg_L5,Team_GF_Gate,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Luke Schenn,WPG,D,,Healthy,Unknown,,,1,0.0,,NJD,Jake Allen,0.9093701996927803,2.613735648450094,26.3,Confirmed,dailyfaceoff_name_and_stats,20.8,36.3,A1+A2,819.0,35.3,29.1,0.962,NONE,False,False,24.469425101599448,2.2290562540105046,15.1,5.0,18,3.6,True,,,,,50.0,,,,,,,0.8494572911750826,0.5096743747050495,,,0.0,2.4975276454194013,2.508316101771105,50.0,48.8,46.9,48.8,1.56,0.28,,,,,COOL,COOL,COOL,1.28,,COOL,Red,Red,Red,Red,38,34,29,39,ASSISTS,39,,,,,,,,,,False,False,1,
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Seamus Casey,NJD,D,,Healthy,Unknown,,,2,1.0,🟢 ROLE+,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,7.3,7.3,A1+A2,1080.5,72.9,20.4,0.947,NONE,False,False,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,28.2,76.3,0.66,0.66,,,,,COOL,COOL,COOL,0.0,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,38,0,0,SOG,38,,,,,,,,,,False,False,0,
2026-01-11,VGK@SJS,7:00 PM,2026-01-12T01:00:00Z,Dylan Coghlan,VGK,D,,Healthy,Unknown,,,5,0.0,,SJS,Yaroslav Askarov,0.8935128518971848,3.4394526745807754,71.3,Unconfirmed,dailyfaceoff_name_and_stats,2.4,7.3,A1+A2,958.0,58.0,15.2,0.94,NONE,False,False,25.973127097094537,2.395540241645476,24.3,45.5,18,3.6,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.689737526048374,2.7254208714790793,50.0,82.8,28.2,82.8,0.19,0.19,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,30,37,28,31,SOG,37,,,,,,,,,,False,False,0,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Jeffrey Viel,BOS,L,,Healthy,Unknown,,,4,0.0,,PIT,Stuart Skinner,0.8915492957746479,2.768401078597823,55.1,Unconfirmed,dailyfaceoff_name_and_stats,25.1,7.3,A1+A2,570.3,7.8,15.4,0.94,NONE,False,False,26.364162518810048,2.3561060307906008,42.6,35.9,27,5.4,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.5171236834603326,2.4963210083904124,50.0,49.8,28.2,49.8,1.12,1.12,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,22,37,34,24,SOG,37,,,,,,,,,,False,False,0,
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Dennis Cholowski,NJD,D,,Healthy,Unknown,,,2,0.0,,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,14.0,19.2,A1+A2,867.73,45.0,22.0,0.95,NONE,False,False,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,,,,,50.0,,,,,,,0.28371030026006777,0.0,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,37.5,76.3,0.91,0.27,,,,,COOL,COOL,COOL,0.63,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,37,0,0,SOG,37,,,,,,,,,,False,False,0,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Sam Poulin,PIT,R,,Healthy,Unknown,,,3,0.0,,BOS,Joonas Korpisalo,0.8878923766816144,3.418154196733764,78.4,Unconfirmed,dailyfaceoff_name_and_stats,8.9,7.3,A1+A2,829.0,37.5,14.1,0.94,NONE,False,False,26.766108589963864,2.5329337165134715,53.9,64.7,18,3.6,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.6619747655978703,2.444727399004514,50.0,60.7,28.2,60.7,0.99,0.99,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,27,36,29,30,SOG,36,,,,,,,,,,False,False,1,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Vladislav Kolyachonok,BOS,D,,Healthy,Unknown,,,4,0.0,,PIT,Stuart Skinner,0.8915492957746479,2.768401078597823,55.1,Unconfirmed,dailyfaceoff_name_and_stats,18.4,26.3,A1+A2,752.46,27.9,23.1,0.951,NONE,False,False,26.364162518810048,2.3561060307906008,42.6,35.9,27,5.4,True,,,,,50.0,,,,,,,0.01889962200755985,0.0,,,0.0,2.5171236834603326,2.4963210083904124,50.0,49.8,33.9,49.8,1.94,0.48,,,,,COOL,COOL,COOL,1.46,,COOL,Red,Red,Red,Red,34,36,31,35,SOG,36,,,,,,,,,,False,False,0,
2026-01-11,VGK@SJS,7:00 PM,2026-01-12T01:00:00Z,Ethan Cardwell,SJS,R,,Healthy,Unknown,,,6,0.0,,VGK,Carl Lindbom,0.8698224852071006,3.137503466307491,81.4,Unconfirmed,dailyfaceoff_name_and_stats,21.7,7.3,A1+A2,715.86,22.3,16.8,0.94,NONE,False,False,22.786766255356014,2.257322812521951,5.2,14.9,21,4.2,True,,,,,50.0,,,,,,,0.012547051442910916,0.0,,,0.0,2.1219963587667956,2.0854335625404374,50.0,17.8,32.6,17.8,1.21,1.21,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,22,35,32,20,SOG,35,,,,,,,,,,False,False,0,
2026-01-11,CBJ@UTA,6:00 PM,2026-01-12T00:00:00Z,Egor Zamula,CBJ,D,,Healthy,Unknown,,,5,0.0,,UTA,Karel Vejmelka,0.8984830805134189,2.6264811693375933,41.6,Unconfirmed,dailyfaceoff_name_and_stats,10.6,19.2,A1+A2,835.87,39.0,19.3,0.945,NONE,False,False,28.200415775360792,2.6508390828839143,95.0,85.3,14,2.8,True,,,,,50.0,,,,,,,0.3023939521209576,0.3023939521209576,,,0.0,2.310991344858298,1.890885838909315,50.0,18.9,37.6,18.9,0.82,0.19,,,,,COOL,COOL,COOL,0.63,,COOL,Red,Red,Red,Red,27,26,22,35,ASSISTS,35,,,,,,,,,,False,False,1,
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Colton White,NJD,D,,Healthy,Unknown,,,2,0.0,,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,13.8,36.3,A1+A2,735.35,25.7,24.0,0.953,NONE,False,False,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,,,,,50.0,,,,,,,0.6469777751153178,0.0,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,42.7,76.3,1.83,0.17,,,,,COOL,COOL,COOL,1.66,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,35,0,0,SOG,35,,,,,,,,,,False,False,0,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Bokondji Imama,PIT,L,,Healthy,Unknown,,,3,0.0,,BOS,Joonas Korpisalo,0.8878923766816144,3.418154196733764,78.4,Unconfirmed,dailyfaceoff_name_and_stats,9.8,7.3,A1+A2,458.5,1.9,7.4,0.94,NONE,False,False,26.766108589963864,2.5329337165134715,53.9,64.7,18,3.6,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.6619747655978703,2.444727399004514,50.0,60.7,28.2,60.7,1.22,1.22,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,24,34,28,28,SOG,34,,,,,,,,,,False,False,1,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Tristan Broz,PIT,C,,Healthy,Unknown,,,3,0.0,,BOS,Joonas Korpisalo,0.8878923766816144,3.418154196733764,78.4,Unconfirmed,dailyfaceoff_name_and_stats,5.0,7.3,A1+A2,690.0,19.0,8.6,0.94,NONE,False,False,26.766108589963864,2.5329337165134715,53.9,64.7,18,3.6,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.6619747655978703,2.444727399004514,50.0,60.7,28.2,60.7,0.75,0.75,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,26,33,26,29,SOG,33,,,,,,,,,,False,False,1,
2026-01-11,PIT@BOS,4:00 PM,2026-01-11T22:00:00Z,Riley Tufte,BOS,L,,Healthy,Unknown,,,4,0.0,,PIT,Stuart Skinner,0.8915492957746479,2.768401078597823,55.1,Unconfirmed,dailyfaceoff_name_and_stats,14.4,7.3,A1+A2,700.25,20.4,13.2,0.94,NONE,False,False,26.364162518810048,2.3561060307906008,42.6,35.9,27,5.4,True,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.5171236834603326,2.4963210083904124,50.0,49.8,28.2,49.8,1.08,1.08,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,23,33,28,25,SOG,33,,,,,,,,,,False,False,0,
2026-01-11,CBJ@UTA,6:00 PM,2026-01-12T00:00:00Z,Jake Christiansen,CBJ,D,,Healthy,Unknown,,,5,0.0,,UTA,Karel Vejmelka,0.8984830805134189,2.6264811693375933,41.6,Unconfirmed,dailyfaceoff_name_and_stats,17.8,19.2,A1+A2,610.58,11.2,17.0,0.941,NONE,False,False,28.200415775360792,2.6508390828839143,95.0,85.3,14,2.8,True,,,,,50.0,,,,,,,0.22978234505648815,0.0,,,0.0,2.310991344858298,1.890885838909315,50.0,18.9,36.5,18.9,0.58,0.22,,,,,COOL,COOL,COOL,0.36,,COOL,Red,Red,Red,Red,25,28,25,33,ASSISTS,33,,,,,,,,,,False,False,1,
2026-01-11,NJD@WPG,1:00 PM,2026-01-11T19:00:00Z,Brian Halonen,NJD,L,,Healthy,Unknown,,,2,0.0,,WPG,Connor Hellebuyck,0.9014705882352941,2.6916638767994643,39.3,Confirmed,dailyfaceoff_name_and_stats,14.3,7.3,A1+A2,450.11,1.5,9.3,0.94,NONE,False,False,27.618448260361415,2.3545805987593273,75.1,25.3,9,1.8,False,,,,,50.0,,,,,,,0.014877262583684603,0.0,,,0.0,2.6357392399648263,2.994510064881051,50.0,76.3,33.4,76.3,0.46,0.46,,,,,COOL,COOL,COOL,0.0,,COOL,FAIL_GF,Red,FAIL_GF,FAIL_GF,0,33,0,0,SOG,33,,,,,,,,,,False,False,0,
