Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Line,Odds,Result,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Kevin Rooney,UTA,C,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,6.7,7.5,584.0,11.9,8.0,0.95,NONE,False,False,27.399304988688574,2.663246029339739,75.2,91.7,,,,,50.0,,,,,,,0.10273972602739725,0.0,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.2,34.9,57.2,1.23,1.23,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,21,31,22,31,ASSISTS,31,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Andrew Agozzino,UTA,L,Healthy,Unknown,,,1,0.0,,STL,Joel Hofer,0.8998302207130731,2.876061258479912,46.7,Confirmed,dailyfaceoff_name_and_stats,1.9,7.5,368.0,1.3,3.8,0.945,NONE,False,False,27.399304988688574,2.663246029339739,75.2,91.7,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.4355116468775493,2.583159612072872,50.0,57.2,28.0,57.2,0.05,0.05,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,19,28,19,30,ASSISTS,30,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Hugh McGing,STL,L,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,11.6,19.4,652.33,18.5,15.7,0.959,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,,0.06525285481239804,0.03262642740619902,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.5,34.6,31.5,4.25,1.05,,,,,COOL,COOL,COOL,3.2,,COOL,Red,Red,Red,Red,25,29,23,30,ASSISTS,30,,,,,False,False,0,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Brett Leason,WSH,R,Healthy,Unknown,,,1,0.0,,CHI,Drew Commesso,0.9098265895953758,2.6150608132019593,25.7,Confirmed,dailyfaceoff_name_fallback_stats,3.4,7.5,334.0,0.7,4.3,0.945,NONE,False,False,27.83640653943414,2.6350506906066733,92.1,74.8,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.7224882251400095,2.530716177056402,50.0,72.6,28.0,72.6,0.28,0.28,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,19,29,19,30,ASSISTS,30,,,,,False,False,1,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Matt Luff,STL,R,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,13.4,7.5,548.0,7.9,10.2,0.952,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,,0.02225519287833828,0.0,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.5,33.3,31.5,0.76,0.76,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,17,29,23,23,SOG,29,,,,,False,False,0,
2026-01-09,WSH@CHI,7:00 PM,2026-01-10T01:00:00Z,Ethan Del Mastro,CHI,D,Healthy,Unknown,,,1,0.0,,WSH,Logan Thompson,0.914519906323185,2.3963452998623103,13.1,Confirmed,dailyfaceoff_name_and_stats,4.4,7.5,981.0,60.9,16.8,0.96,NONE,False,False,24.4073515742773,2.2520562068938585,26.8,25.5,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.572238918395425,2.4073234283606064,50.0,53.0,28.0,53.0,0.29,0.29,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,21,29,19,27,SOG,29,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Parker Ford,WPG,C,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,22.7,19.4,589.09,13.2,19.7,0.964,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,,0.010422094841063054,0.010422094841063054,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,31.3,17.2,1.73,0.85,,,,,COOL,COOL,COOL,0.88,,COOL,Red,Red,Red,Red,21,28,25,25,SOG,28,,,,,False,False,0,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Aleksanteri Kaskimaki,STL,C,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,7.8,7.5,623.6,15.9,9.3,0.951,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.5,28.0,31.5,0.32,0.32,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,18,27,20,23,SOG,27,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Elias Salomonsson,WPG,D,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,15.0,7.5,883.75,48.3,19.0,0.963,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,28.0,17.2,1.13,1.13,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,17,27,22,21,SOG,27,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Colin Miller,WPG,D,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,15.0,7.5,858.92,42.4,17.9,0.961,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,28.0,17.2,0.35,0.35,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,17,27,22,20,SOG,27,,,,,False,False,0,
2026-01-09,STL@UTA,8:00 PM,2026-01-10T02:00:00Z,Hunter Skinner,STL,D,Healthy,Unknown,,,4,0.0,,UTA,Karel Vejmelka,0.8974668275030157,2.6459830345793667,43.5,Confirmed,dailyfaceoff_name_and_stats,0.8,7.5,645.0,17.9,6.6,0.948,NONE,False,False,23.98259766156077,2.2688298740143207,9.6,42.7,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2725470531986844,1.8471441565408027,50.0,31.5,28.0,31.5,0.0,0.0,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,18,23,16,24,ASSISTS,24,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Nikita Chibrikov,WPG,R,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,15.0,7.5,551.75,8.6,11.1,0.953,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,28.0,17.2,0.56,0.56,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,14,24,20,18,SOG,24,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Brad Lambert,WPG,C,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,9.3,7.5,541.5,6.0,8.0,0.95,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,,0.028089887640449437,0.0,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,33.9,17.2,0.52,0.52,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,14,21,16,19,SOG,21,,,,,False,False,0,
2026-01-09,LAK@WPG,7:00 PM,2026-01-10T01:00:00Z,Danil Zhilkin,WPG,C,Healthy,Unknown,,,1,0.0,,LAK,Darcy Kuemper,0.9102564102564102,2.3763123153328722,18.4,Confirmed,dailyfaceoff_name_and_stats,4.1,7.5,415.0,2.6,5.0,0.946,NONE,False,False,24.63831652783867,2.2265088411515417,43.4,8.9,,,,,50.0,,,,,,,0.0,0.0,,,0.0,2.2065012955772785,1.743580636568375,50.0,17.2,28.0,17.2,0.47,0.47,,,,,COOL,COOL,COOL,0.0,,COOL,Red,Red,Red,Red,14,18,13,18,ASSISTS,18,,,,,False,False,0,
