Date,Game,StartTimeLocal,StartTimeUTC,Player,Team,Pos,Tier,Injury_Status,Injury_Type,Injury_Text,Injury_Return,Team_Out_Count,Injury_DFO_Score,Injury_Badge,Opp,Opp_Goalie,Opp_SV,Opp_GAA,Goalie_Weak,Opp_Goalie_Status,Opp_Goalie_Source,iXG%,iXA%,iXA_Source,TOI_per_game,TOI_Pct,StarScore,TalentMult,Talent_Tier,Is_Elite,Is_Star,team_5v5_SF60,team_5v5_xGF60,team_5v5_SF60_pct,team_5v5_xGF60_pct,Med10_SOG,Trim10_SOG,Avg5_SOG,ShotIntent,ShotIntent_Pct,L10_P,L10_G,L10_S,L5_G,L5_A,L10_A,i5v5_points60,i5v5_primaryAssists60,i5v5_shotAssists60,i5v5_iCF60,Assist_Volume,opp_5v5_xGA60,opp_5v5_HDCA60,opp_5v5_SlotSA60,Opp_DefWeak,v2_player_stability,v2_defense_vulnerability,Exp_P_10,Exp_G_10,Exp_S_10,Reg_Gap_P10,Reg_Gap_G10,Reg_Gap_S10,Reg_Heat_P,Reg_Heat_G,Reg_Heat_S,Exp_A_10,Reg_Gap_A10,Reg_Heat_A,Matrix_Points,Matrix_SOG,Matrix_Goal,Matrix_Assists,Conf_Points,Conf_SOG,Conf_Goal,Conf_Assists,Best_Market,Best_Conf,Drought_P,Drought_A,Drought_G,Drought_SOG,Line,Odds,Result,Best_Drought,Play_Tag,Plays_Points,Plays_Assists,Assist_ProofCount,Assist_Why
2026-01-10,VAN@TOR,6:00 PM,2026-01-11T00:00:00Z,Elias Pettersson,VAN,C,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,TOR,Joseph Woll,0.9136069114470843,2.6934515459289603,22.7,Likely,dailyfaceoff_name_and_stats,81.4,81.3,A1+A2,1220.43,86.6,82.4,1.039,NONE,False,False,24.25057002280091,2.2896915876635067,27.3,20.0,2.0,2.25,2.4,2.14,58.0,4.0,3.0,24.0,2.0,1.0,1.0,1.3598434119707428,0.24724425672195324,,,0.0,2.42548374925888,2.023546442238837,50.0,35.7,58.0,35.7,7.24,2.78,21.4,3.24,-0.22,-2.6,HOT,COOL,COOL,4.45,3.45,HOT,Yellow,Red,Red,Yellow,68,72,66,71,SOG,72,1.0,3.0,1.0,1.0,,,,🎯 D:1,,False,False,0,
2026-01-10,NYR@BOS,12:00 PM,2026-01-10T18:00:00Z,Elias Lindholm,BOS,C,,Healthy,Unknown,,,4,0.0,,NYR,Jonathan Quick,0.9113924050632911,2.3898714969889516,17.2,Confirmed,dailyfaceoff_name_and_stats,76.7,90.2,A1+A2,1035.59,66.2,79.4,1.035,NONE,False,False,26.221884786941256,2.328081996773275,55.7,41.7,2.0,2.25,2.2,2.0700000000000003,53.2,7.0,3.0,25.0,3.0,2.0,4.0,1.3914118965717157,0.5565647586286863,,,0.0,2.320426433604376,2.1644291611370585,50.0,34.5,58.4,34.5,8.6,2.51,20.7,1.6,-0.49,-4.3,WARM,COOL,COOL,6.09,2.09,WARM,Yellow,Red,Red,Yellow,63,64,63,72,ASSISTS,72,0.0,1.0,0.0,1.0,,,,🅰️ D:1,,False,False,1,
2026-01-10,TBL@PHI,6:00 PM,2026-01-11T00:00:00Z,Trevor Zegras,PHI,C,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,TBL,Andrei Vasilevskiy,0.9124087591240876,2.342123525329632,14.4,Unconfirmed,dailyfaceoff_name_and_stats,89.2,94.2,A1+A2,1129.1,76.8,88.5,1.046,NONE,False,False,23.69734319798482,2.180954040652081,15.8,5.2,1.5,1.5,2.0,1.675,33.9,8.0,3.0,16.0,2.0,2.0,5.0,2.3377230577417594,0.9350892230967038,,,0.0,2.3162072401195615,2.211889737628695,50.0,33.7,72.0,33.7,8.97,2.99,16.75,0.97,-0.01,0.75,COOL,COOL,COOL,5.98,0.98,COOL,Green,Red,Red,Green,67,67,69,72,ASSISTS,72,1.0,4.0,1.0,1.0,,,,🅰️ D:4,🅰️ ASSISTS EARNED,False,True,3,"iXA,v2,VOL"
2026-01-10,NYI@MIN,7:00 PM,2026-01-11T01:00:00Z,Vladimir Tarasenko,MIN,R,,Healthy,Unknown,,,0,0.0,,NYI,Ilya Sorokin,0.9152777777777777,2.4456249373559187,13.4,Likely,dailyfaceoff_name_and_stats,80.5,72.1,A1+A2,904.74,48.2,71.1,1.025,NONE,False,False,25.957076993327345,2.398444519730737,45.7,48.4,1.0,1.375,1.6,1.21,15.5,3.0,2.0,15.0,1.0,0.0,1.0,1.3447387097979158,0.13447387097979158,,,0.0,2.637052473510416,2.840878619093953,50.0,82.6,57.6,82.6,5.71,2.48,12.1,2.71,0.48,-2.9,HOT,COOL,COOL,3.24,2.24,WARM,Yellow,Red,Red,Yellow,65,63,64,72,ASSISTS,72,4.0,9.0,4.0,1.0,,,,🅰️ D:9,,False,False,0,
2026-01-10,CBJ@COL,3:00 PM,2026-01-10T21:00:00Z,Damon Severson,CBJ,D,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,COL,Scott Wedgewood,0.9174825174825175,2.1936709906634717,3.5,Unconfirmed,dailyfaceoff_name_and_stats,61.0,78.2,A1+A2,1192.88,83.6,71.5,1.026,NONE,False,False,28.12782007080547,2.633130481060694,84.2,84.1,,,,,50.0,,,,,,,1.0213880401571367,0.39284155390659103,,,0.0,2.3163060593223728,2.301919065165091,50.0,38.9,49.4,38.9,4.54,1.2,,,,,COOL,COOL,COOL,3.34,,COOL,Yellow,Red,Red,Yellow,62,57,54,72,ASSISTS,72,,,,,,,,,,False,False,1,
2026-01-10,CBJ@COL,3:00 PM,2026-01-10T21:00:00Z,Denton Mateychuk,CBJ,D,,Healthy,Unknown,,,5,1.0,🟢 ROLE+,COL,Scott Wedgewood,0.9174825174825175,2.1936709906634717,3.5,Unconfirmed,dailyfaceoff_name_and_stats,44.6,75.2,A1+A2,1253.21,89.0,64.2,1.017,NONE,False,False,28.12782007080547,2.633130481060694,84.2,84.1,,,,,50.0,,,,,,,1.4777651083238312,0.4925883694412771,,,0.0,2.3163060593223728,2.301919065165091,50.0,38.9,60.1,38.9,3.86,0.71,,,,,COOL,COOL,COOL,3.15,,COOL,Yellow,Red,Red,Yellow,62,50,44,72,ASSISTS,72,,,,,,,,,,False,False,2,
2026-01-10,STL@VGK,9:00 PM,2026-01-11T03:00:00Z,Brett Howden,VGK,C,,Healthy,Unknown,,,5,0.0,,STL,Jordan Binnington,0.8705701078582434,3.552548107422288,93.0,Unconfirmed,dailyfaceoff_name_and_stats,66.2,46.7,A1+A2,890.11,46.1,55.4,1.006,NONE,False,False,26.00682277758054,2.4084096136332063,49.1,51.8,,,,,50.0,,,,,,,1.6831980763450556,0.3606853020739405,,,0.0,2.450137643193322,2.6107805701092266,50.0,65.6,64.3,65.6,3.15,1.56,,,,,COOL,COOL,COOL,1.59,,COOL,Red,Red,Red,Red,50,71,66,53,SOG,71,,,,,,,,,,False,False,0,
2026-01-10,FLA@OTT,6:00 PM,2026-01-11T00:00:00Z,Shane Pinto,OTT,C,,Healthy,Unknown,,,1,0.0,,FLA,Sergei Bobrovsky,0.8807212205270458,2.929460188295406,74.5,Confirmed,dailyfaceoff_name_and_stats,86.3,61.5,A1+A2,1133.58,77.3,75.8,1.031,NONE,False,False,26.92796985458703,2.457141016763555,69.9,58.3,1.5,1.75,1.6,1.5350000000000001,28.6,5.0,2.0,18.0,1.0,3.0,3.0,2.463129086209518,0.410521514368253,,,0.0,2.400217410997373,2.253168518228759,50.0,42.6,73.2,42.6,6.23,3.42,15.35,1.23,1.42,-2.65,COOL,COOL,COOL,2.81,-0.19,COOL,Red,Red,Red,Red,54,71,70,55,SOG,71,0.0,3.0,0.0,0.0,,,,🎯 D:0,,False,False,1,
2026-01-10,CHI@NSH,7:00 PM,2026-01-11T01:00:00Z,Brady Skjei,NSH,D,,Healthy,Unknown,,,3,1.0,🟢 ROLE+,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Unconfirmed,dailyfaceoff_name_and_stats,49.3,72.1,A1+A2,1316.05,93.4,66.1,1.019,NONE,False,False,26.118848431095238,2.4798523383752427,52.2,61.6,,,,,50.0,,,,,,,0.7603491974091805,0.33793297662630245,,,0.0,2.7166179020786703,2.5301563777205676,50.0,82.9,43.0,82.9,3.67,0.82,,,,,COOL,COOL,COOL,2.84,,COOL,Yellow,Red,Red,Yellow,66,67,57,71,ASSISTS,71,,,,,,,,,,False,False,1,
2026-01-10,CHI@NSH,7:00 PM,2026-01-11T01:00:00Z,Jonathan Marchessault,NSH,R,,GTD,Unknown,,,3,-1.0,🟡 GTD,CHI,Drew Commesso,0.7916666666666666,0.08333333333333333,50.0,Unconfirmed,dailyfaceoff_name_and_stats,70.3,31.5,A1+A2,1006.43,63.0,55.3,1.006,NONE,False,False,26.118848431095238,2.4798523383752427,52.2,61.6,,,,,50.0,,,,,,,0.8227067050596463,0.0,,,0.0,2.7166179020786703,2.5301563777205676,50.0,82.9,44.3,82.9,3.56,2.48,,,,,COOL,COOL,COOL,1.08,,COOL,Red,Red,Red,Red,39,71,64,45,SOG,71,,,,,,,,,,False,False,1,
